                               Labor Force Data by County, 2017 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2017        26,075       25,062      1,013      3.9
CN0100300000000   01     003   Baldwin County, AL                                2017        92,456       88,711      3,745      4.1
CN0100500000000   01     005   Barbour County, AL                                2017         8,349        7,863        486      5.8
CN0100700000000   01     007   Bibb County, AL                                   2017         8,583        8,208        375      4.4
CN0100900000000   01     009   Blount County, AL                                 2017        24,822       23,824        998      4.0
CN0101100000000   01     011   Bullock County, AL                                2017         4,852        4,614        238      4.9
CN0101300000000   01     013   Butler County, AL                                 2017         8,975        8,481        494      5.5
CN0101500000000   01     015   Calhoun County, AL                                2017        45,950       43,679      2,271      4.9
CN0101700000000   01     017   Chambers County, AL                               2017        15,260       14,639        621      4.1
CN0101900000000   01     019   Cherokee County, AL                               2017        11,385       10,922        463      4.1
CN0102100000000   01     021   Chilton County, AL                                2017        19,333       18,547        786      4.1
CN0102300000000   01     023   Choctaw County, AL                                2017         4,424        4,145        279      6.3
CN0102500000000   01     025   Clarke County, AL                                 2017         7,765        7,107        658      8.5
CN0102700000000   01     027   Clay County, AL                                   2017         5,819        5,567        252      4.3
CN0102900000000   01     029   Cleburne County, AL                               2017         5,747        5,489        258      4.5
CN0103100000000   01     031   Coffee County, AL                                 2017        20,969       20,049        920      4.4
CN0103300000000   01     033   Colbert County, AL                                2017        23,343       22,130      1,213      5.2
CN0103500000000   01     035   Conecuh County, AL                                2017         4,505        4,230        275      6.1
CN0103700000000   01     037   Coosa County, AL                                  2017         4,396        4,191        205      4.7
CN0103900000000   01     039   Covington County, AL                              2017        15,779       14,958        821      5.2
CN0104100000000   01     041   Crenshaw County, AL                               2017         6,429        6,138        291      4.5
CN0104300000000   01     043   Cullman County, AL                                2017        37,976       36,556      1,420      3.7
CN0104500000000   01     045   Dale County, AL                                   2017        20,014       19,120        894      4.5
CN0104700000000   01     047   Dallas County, AL                                 2017        15,084       13,956      1,128      7.5
CN0104900000000   01     049   DeKalb County, AL                                 2017        29,688       28,357      1,331      4.5
CN0105100000000   01     051   Elmore County, AL                                 2017        37,366       35,990      1,376      3.7
CN0105300000000   01     053   Escambia County, AL                               2017        14,501       13,779        722      5.0
CN0105500000000   01     055   Etowah County, AL                                 2017        43,233       41,251      1,982      4.6
CN0105700000000   01     057   Fayette County, AL                                2017         6,579        6,269        310      4.7
CN0105900000000   01     059   Franklin County, AL                               2017        14,029       13,430        599      4.3
CN0106100000000   01     061   Geneva County, AL                                 2017        10,826       10,356        470      4.3
CN0106300000000   01     063   Greene County, AL                                 2017         2,861        2,645        216      7.5
CN0106500000000   01     065   Hale County, AL                                   2017         5,968        5,614        354      5.9
CN0106700000000   01     067   Henry County, AL                                  2017         6,739        6,411        328      4.9
CN0106900000000   01     069   Houston County, AL                                2017        44,882       42,923      1,959      4.4
CN0107100000000   01     071   Jackson County, AL                                2017        23,198       22,088      1,110      4.8
CN0107300000000   01     073   Jefferson County, AL                              2017       311,481      298,227     13,254      4.3
CN0107500000000   01     075   Lamar County, AL                                  2017         5,764        5,523        241      4.2
CN0107700000000   01     077   Lauderdale County, AL                             2017        42,218       40,261      1,957      4.6
CN0107900000000   01     079   Lawrence County, AL                               2017        13,690       13,015        675      4.9
CN0108100000000   01     081   Lee County, AL                                    2017        73,762       70,836      2,926      4.0
CN0108300000000   01     083   Limestone County, AL                              2017        41,691       40,016      1,675      4.0
CN0108500000000   01     085   Lowndes County, AL                                2017         3,672        3,371        301      8.2
CN0108700000000   01     087   Macon County, AL                                  2017         7,916        7,460        456      5.8
CN0108900000000   01     089   Madison County, AL                                2017       176,562      169,711      6,851      3.9
CN0109100000000   01     091   Marengo County, AL                                2017         7,724        7,291        433      5.6
CN0109300000000   01     093   Marion County, AL                                 2017        12,567       11,964        603      4.8
CN0109500000000   01     095   Marshall County, AL                               2017        42,240       40,616      1,624      3.8
CN0109700000000   01     097   Mobile County, AL                                 2017       187,560      177,819      9,741      5.2
CN0109900000000   01     099   Monroe County, AL                                 2017         7,243        6,756        487      6.7
CN0110100000000   01     101   Montgomery County, AL                             2017       106,155      101,555      4,600      4.3
CN0110300000000   01     103   Morgan County, AL                                 2017        55,252       52,986      2,266      4.1
CN0110500000000   01     105   Perry County, AL                                  2017         3,449        3,181        268      7.8
CN0110700000000   01     107   Pickens County, AL                                2017         7,748        7,333        415      5.4
CN0110900000000   01     109   Pike County, AL                                   2017        15,351       14,606        745      4.9
CN0111100000000   01     111   Randolph County, AL                               2017         9,521        9,104        417      4.4
CN0111300000000   01     113   Russell County, AL                                2017        23,481       22,468      1,013      4.3
CN0111500000000   01     115   St. Clair County, AL                              2017        39,341       37,780      1,561      4.0
CN0111700000000   01     117   Shelby County, AL                                 2017       111,770      108,172      3,598      3.2
CN0111900000000   01     119   Sumter County, AL                                 2017         4,986        4,659        327      6.6
CN0112100000000   01     121   Talladega County, AL                              2017        34,780       33,040      1,740      5.0
CN0112300000000   01     123   Tallapoosa County, AL                             2017        18,273       17,505        768      4.2
CN0112500000000   01     125   Tuscaloosa County, AL                             2017       100,259       96,091      4,168      4.2
CN0112700000000   01     127   Walker County, AL                                 2017        24,996       23,738      1,258      5.0
CN0112900000000   01     129   Washington County, AL                             2017         6,717        6,263        454      6.8
CN0113100000000   01     131   Wilcox County, AL                                 2017         2,812        2,491        321     11.4
CN0113300000000   01     133   Winston County, AL                                2017         9,730        9,241        489      5.0
CN0201300000000   02     013   Aleutians East Borough, AK                        2017         2,529        2,466         63      2.5
CN0201600000000   02     016   Aleutians West Census Area, AK                    2017         3,724        3,587        137      3.7
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2017       153,108      144,255      8,853      5.8
CN0205000000000   02     050   Bethel Census Area, AK                            2017         7,326        6,343        983     13.4
CN0206000000000   02     060   Bristol Bay Borough, AK                           2017           419          393         26      6.2
CN0206800000000   02     068   Denali Borough, AK                                2017         1,144        1,042        102      8.9
CN0207000000000   02     070   Dillingham Census Area, AK                        2017         2,045        1,863        182      8.9
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2017        46,234       43,429      2,805      6.1
CN0210000000000   02     100   Haines Borough, AK                                2017         1,077          982         95      8.8
CN0210500000000   02     105   Hoonah-Angoon Census Area, AK                     2017         1,136          998        138     12.1
CN0211000000000   02     110   Juneau Borough/city, AK                           2017        17,208       16,417        791      4.6
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2017        26,749       24,551      2,198      8.2
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2017         7,066        6,634        432      6.1
CN0215000000000   02     150   Kodiak Island Borough, AK                         2017         6,292        5,977        315      5.0
CN0215800000000   02     158   Kusilvak Census Area, AK                          2017         2,746        2,209        537     19.6
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2017           716          632         84     11.7
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2017        48,126       44,174      3,952      8.2
CN0218000000000   02     180   Nome Census Area, AK                              2017         4,089        3,597        492     12.0
CN0218500000000   02     185   North Slope Borough, AK                           2017         3,585        3,321        264      7.4
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2017         2,951        2,476        475     16.1
CN0219500000000   02     195   Petersburg Borough, AK                            2017         1,411        1,283        128      9.1
CN0219800000000   02     198   Prince of Wales-Hyder Census Area, AK             2017         2,840        2,527        313     11.0
CN0222000000000   02     220   Sitka Borough/city, AK                            2017         4,426        4,227        199      4.5
CN0223000000000   02     230   Skagway Municipality, AK                          2017           826          742         84     10.2
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2017         2,927        2,629        298     10.2
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2017         4,856        4,484        372      7.7
CN0227500000000   02     275   Wrangell Borough/city, AK                         2017         1,045          966         79      7.6
CN0228200000000   02     282   Yakutat Borough/city, AK                          2017           232          211         21      9.1
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2017         2,466        2,034        432     17.5
CN0400100000000   04     001   Apache County, AZ                                 2017        20,361       18,274      2,087     10.2
CN0400300000000   04     003   Cochise County, AZ                                2017        49,327       46,592      2,735      5.5
CN0400500000000   04     005   Coconino County, AZ                               2017        75,401       71,251      4,150      5.5
CN0400700000000   04     007   Gila County, AZ                                   2017        21,306       20,025      1,281      6.0
CN0400900000000   04     009   Graham County, AZ                                 2017        14,358       13,581        777      5.4
CN0401100000000   04     011   Greenlee County, AZ                               2017         3,983        3,784        199      5.0
CN0401200000000   04     012   La Paz County, AZ                                 2017         8,681        8,216        465      5.4
CN0401300000000   04     013   Maricopa County, AZ                               2017     2,141,365    2,052,091     89,274      4.2
CN0401500000000   04     015   Mohave County, AZ                                 2017        82,349       77,541      4,808      5.8
CN0401700000000   04     017   Navajo County, AZ                                 2017        40,684       37,591      3,093      7.6
CN0401900000000   04     019   Pima County, AZ                                   2017       475,935      454,630     21,305      4.5
CN0402100000000   04     021   Pinal County, AZ                                  2017       171,474      162,883      8,591      5.0
CN0402300000000   04     023   Santa Cruz County, AZ                             2017        19,051       17,255      1,796      9.4
CN0402500000000   04     025   Yavapai County, AZ                                2017       101,851       97,269      4,582      4.5
CN0402700000000   04     027   Yuma County, AZ                                   2017        95,437       79,266     16,171     16.9
CN0500100000000   05     001   Arkansas County, AR                               2017         8,960        8,669        291      3.2
CN0500300000000   05     003   Ashley County, AR                                 2017         7,857        7,420        437      5.6
CN0500500000000   05     005   Baxter County, AR                                 2017        16,350       15,655        695      4.3
CN0500700000000   05     007   Benton County, AR                                 2017       132,347      128,439      3,908      3.0
CN0500900000000   05     009   Boone County, AR                                  2017        15,782       15,242        540      3.4
CN0501100000000   05     011   Bradley County, AR                                2017         4,454        4,250        204      4.6
