                               Labor Force Data by County, 2014 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2014        25,592       24,097      1,495      5.8
CN0100300000000   01     003   Baldwin County, AL                                2014        86,384       81,083      5,301      6.1
CN0100500000000   01     005   Barbour County, AL                                2014         8,845        7,913        932     10.5
CN0100700000000   01     007   Bibb County, AL                                   2014         8,559        7,942        617      7.2
CN0100900000000   01     009   Blount County, AL                                 2014        24,527       23,023      1,504      6.1
CN0101100000000   01     011   Bullock County, AL                                2014         4,732        4,314        418      8.8
CN0101300000000   01     013   Butler County, AL                                 2014         9,270        8,477        793      8.6
CN0101500000000   01     015   Calhoun County, AL                                2014        47,237       43,467      3,770      8.0
CN0101700000000   01     017   Chambers County, AL                               2014        15,302       14,276      1,026      6.7
CN0101900000000   01     019   Cherokee County, AL                               2014        11,386       10,725        661      5.8
CN0102100000000   01     021   Chilton County, AL                                2014        19,096       17,899      1,197      6.3
CN0102300000000   01     023   Choctaw County, AL                                2014         4,494        4,089        405      9.0
CN0102500000000   01     025   Clarke County, AL                                 2014         8,155        7,162        993     12.2
CN0102700000000   01     027   Clay County, AL                                   2014         5,511        5,117        394      7.1
CN0102900000000   01     029   Cleburne County, AL                               2014         5,853        5,467        386      6.6
CN0103100000000   01     031   Coffee County, AL                                 2014        20,228       18,884      1,344      6.6
CN0103300000000   01     033   Colbert County, AL                                2014        24,027       22,034      1,993      8.3
CN0103500000000   01     035   Conecuh County, AL                                2014         4,716        4,229        487     10.3
CN0103700000000   01     037   Coosa County, AL                                  2014         4,467        4,074        393      8.8
CN0103900000000   01     039   Covington County, AL                              2014        15,911       14,674      1,237      7.8
CN0104100000000   01     041   Crenshaw County, AL                               2014         6,298        5,862        436      6.9
CN0104300000000   01     043   Cullman County, AL                                2014        35,919       33,738      2,181      6.1
CN0104500000000   01     045   Dale County, AL                                   2014        20,316       18,878      1,438      7.1
CN0104700000000   01     047   Dallas County, AL                                 2014        16,003       14,204      1,799     11.2
CN0104900000000   01     049   DeKalb County, AL                                 2014        28,943       26,954      1,989      6.9
CN0105100000000   01     051   Elmore County, AL                                 2014        36,543       34,455      2,088      5.7
CN0105300000000   01     053   Escambia County, AL                               2014        14,365       13,215      1,150      8.0
CN0105500000000   01     055   Etowah County, AL                                 2014        43,719       40,639      3,080      7.0
CN0105700000000   01     057   Fayette County, AL                                2014         6,349        5,851        498      7.8
CN0105900000000   01     059   Franklin County, AL                               2014        13,714       12,653      1,061      7.7
CN0106100000000   01     061   Geneva County, AL                                 2014        10,793       10,071        722      6.7
CN0106300000000   01     063   Greene County, AL                                 2014         2,985        2,613        372     12.5
CN0106500000000   01     065   Hale County, AL                                   2014         6,032        5,436        596      9.9
CN0106700000000   01     067   Henry County, AL                                  2014         6,775        6,267        508      7.5
CN0106900000000   01     069   Houston County, AL                                2014        45,142       42,080      3,062      6.8
CN0107100000000   01     071   Jackson County, AL                                2014        23,446       21,743      1,703      7.3
CN0107300000000   01     073   Jefferson County, AL                              2014       312,131      292,505     19,626      6.3
CN0107500000000   01     075   Lamar County, AL                                  2014         5,625        5,232        393      7.0
CN0107700000000   01     077   Lauderdale County, AL                             2014        43,474       40,346      3,128      7.2
CN0107900000000   01     079   Lawrence County, AL                               2014        14,021       12,868      1,153      8.2
CN0108100000000   01     081   Lee County, AL                                    2014        71,346       67,358      3,988      5.6
CN0108300000000   01     083   Limestone County, AL                              2014        39,576       37,162      2,414      6.1
CN0108500000000   01     085   Lowndes County, AL                                2014         3,872        3,376        496     12.8
CN0108700000000   01     087   Macon County, AL                                  2014         8,237        7,486        751      9.1
CN0108900000000   01     089   Madison County, AL                                2014       170,070      159,573     10,497      6.2
CN0109100000000   01     091   Marengo County, AL                                2014         7,623        7,015        608      8.0
CN0109300000000   01     093   Marion County, AL                                 2014        12,288       11,317        971      7.9
CN0109500000000   01     095   Marshall County, AL                               2014        39,903       37,239      2,664      6.7
CN0109700000000   01     097   Mobile County, AL                                 2014       185,318      170,959     14,359      7.7
CN0109900000000   01     099   Monroe County, AL                                 2014         7,615        6,773        842     11.1
CN0110100000000   01     101   Montgomery County, AL                             2014       105,004       97,799      7,205      6.9
CN0110300000000   01     103   Morgan County, AL                                 2014        56,034       52,336      3,698      6.6
CN0110500000000   01     105   Perry County, AL                                  2014         3,489        3,066        423     12.1
CN0110700000000   01     107   Pickens County, AL                                2014         7,760        7,124        636      8.2
CN0110900000000   01     109   Pike County, AL                                   2014        14,948       13,846      1,102      7.4
CN0111100000000   01     111   Randolph County, AL                               2014         9,274        8,650        624      6.7
CN0111300000000   01     113   Russell County, AL                                2014        24,767       23,147      1,620      6.5
CN0111500000000   01     115   St. Clair County, AL                              2014        38,507       36,288      2,219      5.8
CN0111700000000   01     117   Shelby County, AL                                 2014       107,208      102,400      4,808      4.5
CN0111900000000   01     119   Sumter County, AL                                 2014         5,373        4,917        456      8.5
CN0112100000000   01     121   Talladega County, AL                              2014        35,386       32,639      2,747      7.8
CN0112300000000   01     123   Tallapoosa County, AL                             2014        18,416       17,034      1,382      7.5
CN0112500000000   01     125   Tuscaloosa County, AL                             2014        97,049       91,323      5,726      5.9
CN0112700000000   01     127   Walker County, AL                                 2014        25,752       23,714      2,038      7.9
CN0112900000000   01     129   Washington County, AL                             2014         6,654        6,015        639      9.6
CN0113100000000   01     131   Wilcox County, AL                                 2014         2,864        2,379        485     16.9
CN0113300000000   01     133   Winston County, AL                                2014         9,630        8,802        828      8.6
CN0201300000000   02     013   Aleutians East Borough, AK                        2014         2,225        2,125        100      4.5
CN0201600000000   02     016   Aleutians West Census Area, AK                    2014         4,475        4,260        215      4.8
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2014       158,075      149,849      8,226      5.2
CN0205000000000   02     050   Bethel Census Area, AK                            2014         7,305        6,131      1,174     16.1
CN0206000000000   02     060   Bristol Bay Borough, AK                           2014           497          457         40      8.0
CN0206800000000   02     068   Denali Borough, AK                                2014         1,072          961        111     10.4
CN0207000000000   02     070   Dillingham Census Area, AK                        2014         2,119        1,906        213     10.1
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2014        46,792       44,092      2,700      5.8
CN0210000000000   02     100   Haines Borough, AK                                2014         1,113          994        119     10.7
CN0210500000000   02     105   Hoonah-Angoon Census Area, AK                     2014         1,140          967        173     15.2
CN0211000000000   02     110   Juneau Borough/city, AK                           2014        17,460       16,578        882      5.1
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2014        27,954       25,759      2,195      7.9
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2014         7,107        6,548        559      7.9
