                               Labor Force Data by County, 2007 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN0105300000000   01     053   Escambia County, AL                               2007        14,288       13,530        758      5.3
CN0105500000000   01     055   Etowah County, AL                                 2007        45,459       43,431      2,028      4.5
CN0105700000000   01     057   Fayette County, AL                                2007         7,387        7,039        348      4.7
CN0105900000000   01     059   Franklin County, AL                               2007        13,742       13,108        634      4.6
CN0106100000000   01     061   Geneva County, AL                                 2007        11,535       11,137        398      3.5
CN0106300000000   01     063   Greene County, AL                                 2007         3,284        3,075        209      6.4
CN0106500000000   01     065   Hale County, AL                                   2007         6,976        6,602        374      5.4
CN0106700000000   01     067   Henry County, AL                                  2007         7,540        7,135        405      5.4
CN0106900000000   01     069   Houston County, AL                                2007        47,179       45,607      1,572      3.3
CN0107100000000   01     071   Jackson County, AL                                2007        27,020       25,799      1,221      4.5
CN0107300000000   01     073   Jefferson County, AL                              2007       314,739      302,603     12,136      3.9
CN0107500000000   01     075   Lamar County, AL                                  2007         5,854        5,488        366      6.3
CN0107700000000   01     077   Lauderdale County, AL                             2007        43,257       41,389      1,868      4.3
CN0107900000000   01     079   Lawrence County, AL                               2007        15,807       15,160        647      4.1
CN0108100000000   01     081   Lee County, AL                                    2007        65,326       62,949      2,377      3.6
CN0108300000000   01     083   Limestone County, AL                              2007        36,340       35,123      1,217      3.3
CN0108500000000   01     085   Lowndes County, AL                                2007         4,758        4,400        358      7.5
CN0108700000000   01     087   Macon County, AL                                  2007         8,865        8,385        480      5.4
CN0108900000000   01     089   Madison County, AL                                2007       165,286      160,218      5,068      3.1
CN0109100000000   01     091   Marengo County, AL                                2007         8,150        7,718        432      5.3
CN0109300000000   01     093   Marion County, AL                                 2007        12,974       12,297        677      5.2
CN0109500000000   01     095   Marshall County, AL                               2007        41,311       39,890      1,421      3.4
CN0109700000000   01     097   Mobile County, AL                                 2007       184,490      177,096      7,394      4.0
CN0109900000000   01     099   Monroe County, AL                                 2007         8,945        8,369        576      6.4
CN0110100000000   01     101   Montgomery County, AL                             2007       106,156      101,798      4,358      4.1
CN0110300000000   01     103   Morgan County, AL                                 2007        56,642       54,654      1,988      3.5
CN0110500000000   01     105   Perry County, AL                                  2007         3,543        3,244        299      8.4
CN0110700000000   01     107   Pickens County, AL                                2007         8,015        7,613        402      5.0
CN0110900000000   01     109   Pike County, AL                                   2007        15,575       14,947        628      4.0
CN0111100000000   01     111   Randolph County, AL                               2007         9,487        9,005        482      5.1
CN0111300000000   01     113   Russell County, AL                                2007        21,734       20,414      1,320      6.1
CN0111500000000   01     115   St. Clair County, AL                              2007        36,040       34,813      1,227      3.4
CN0111700000000   01     117   Shelby County, AL                                 2007        99,647       97,043      2,604      2.6
CN0111900000000   01     119   Sumter County, AL                                 2007         4,778        4,466        312      6.5
CN0112100000000   01     121   Talladega County, AL                              2007        38,922       36,898      2,024      5.2
CN0112300000000   01     123   Tallapoosa County, AL                             2007        18,311       17,340        971      5.3
CN0112500000000   01     125   Tuscaloosa County, AL                             2007        89,008       86,080      2,928      3.3
CN0112700000000   01     127   Walker County, AL                                 2007        29,056       27,800      1,256      4.3
CN0112900000000   01     129   Washington County, AL                             2007         7,002        6,586        416      5.9
CN0113100000000   01     131   Wilcox County, AL                                 2007         3,438        3,106        332      9.7
CN0113300000000   01     133   Winston County, AL                                2007        10,287        9,712        575      5.6
CN0201300000000   02     013   Aleutians East Borough, AK                        2007         1,094        1,007         87      8.0
CN0201600000000   02     016   Aleutians West Census Area, AK                    2007         3,085        2,917        168      5.4
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2007       151,051      143,336      7,715      5.1
CN0205000000000   02     050   Bethel Census Area, AK                            2007         6,951        6,062        889     12.8
CN0206000000000   02     060   Bristol Bay Borough, AK                           2007         1,064        1,014         50      4.7
CN0206800000000   02     068   Denali Borough, AK                                2007         1,602        1,502        100      6.2
CN0207000000000   02     070   Dillingham Census Area, AK                        2007         2,045        1,858        187      9.1
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2007        45,385       42,858      2,527      5.6
CN0210000000000   02     100   Haines Borough, AK                                2007         1,446        1,339        107      7.4
CN0211000000000   02     110   Juneau Borough/city, AK                           2007        18,459       17,626        833      4.5
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2007        25,700       23,674      2,026      7.9
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2007         8,222        7,757        465      5.7
CN0215000000000   02     150   Kodiak Island Borough, AK                         2007         6,141        5,756        385      6.3
CN0215800000000   02     158   Kusilvak Census Area, AK                          2007         2,584        2,057        527     20.4
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2007         1,166        1,102         64      5.5
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2007        39,800       36,934      2,866      7.2
CN0218000000000   02     180   Nome Census Area, AK                              2007         3,796        3,374        422     11.1
CN0218500000000   02     185   North Slope Borough, AK                           2007         4,672        4,420        252      5.4
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2007         2,968        2,646        322     10.8
CN0220100000000   02     201   Prince of Wales-Outer Ketchikan Census Area, AK   2007         2,275        1,966        309     13.6
CN0222000000000   02     220   Sitka Borough/city, AK                            2007         4,635        4,398        237      5.1
CN0223200000000   02     232   Skagway-Hoonah-Angoon Census Area, AK             2007         1,925        1,685        240     12.5
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2007         3,555        3,246        309      8.7
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2007         5,219        4,778        441      8.4
CN0228000000000   02     280   Wrangell-Petersburg Census Area, AK               2007         2,875        2,598        277      9.6
CN0228200000000   02     282   Yakutat Borough/city, AK                          2007           308          287         21      6.8
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2007         2,763        2,382        381     13.8
CN0400100000000   04     001   Apache County, AZ                                 2007        20,200       18,427      1,773      8.8
CN0400300000000   04     003   Cochise County, AZ                                2007        57,271       54,934      2,337      4.1
CN0400500000000   04     005   Coconino County, AZ                               2007        70,736       68,093      2,643      3.7
CN0400700000000   04     007   Gila County, AZ                                   2007        21,166       20,256        910      4.3
CN0400900000000   04     009   Graham County, AZ                                 2007        14,294       13,680        614      4.3
CN0401100000000   04     011   Greenlee County, AZ                               2007         3,998        3,868        130      3.3
CN0401200000000   04     012   La Paz County, AZ                                 2007         7,655        7,262        393      5.1
CN0401300000000   04     013   Maricopa County, AZ                               2007     1,945,290    1,881,907     63,383      3.3
CN0401500000000   04     015   Mohave County, AZ                                 2007        91,440       87,174      4,266      4.7
CN0401700000000   04     017   Navajo County, AZ                                 2007        38,244       35,783      2,461      6.4
CN0401900000000   04     019   Pima County, AZ                                   2007       458,486      441,553     16,933      3.7
CN0402100000000   04     021   Pinal County, AZ                                  2007       111,626      106,534      5,092      4.6
CN0402300000000   04     023   Santa Cruz County, AZ                             2007        17,162       15,893      1,269      7.4
CN0402500000000   04     025   Yavapai County, AZ                                2007        97,606       93,996      3,610      3.7
CN0402700000000   04     027   Yuma County, AZ                                   2007        78,841       67,756     11,085     14.1
CN0500100000000   05     001   Arkansas County, AR                               2007        11,988       10,942      1,046      8.7
CN0500300000000   05     003   Ashley County, AR                                 2007         9,483        8,712        771      8.1
CN0500500000000   05     005   Baxter County, AR                                 2007        17,748       16,787        961      5.4
CN0500700000000   05     007   Benton County, AR                                 2007       105,064      101,125      3,939      3.7
CN0500900000000   05     009   Boone County, AR                                  2007        16,987       16,127        860      5.1
CN0501100000000   05     011   Bradley County, AR                                2007         5,799        5,446        353      6.1
CN0501300000000   05     013   Calhoun County, AR                                2007         2,638        2,461        177      6.7
CN0501500000000   05     015   Carroll County, AR                                2007        14,021       13,416        605      4.3
CN0501700000000   05     017   Chicot County, AR                                 2007         4,995        4,583        412      8.2
CN0501900000000   05     019   Clark County, AR                                  2007        11,069       10,451        618      5.6
CN0502100000000   05     021   Clay County, AR                                   2007         6,751        6,125        626      9.3
CN0502300000000   05     023   Cleburne County, AR                               2007        11,687       10,977        710      6.1
CN0502500000000   05     025   Cleveland County, AR                              2007         4,180        3,942        238      5.7
CN0502700000000   05     027   Columbia County, AR                               2007        11,040       10,320        720      6.5
CN0502900000000   05     029   Conway County, AR                                 2007        10,073        9,583        490      4.9
CN0503100000000   05     031   Craighead County, AR                              2007        45,989       43,687      2,302      5.0
CN0503300000000   05     033   Crawford County, AR                               2007        28,569       27,174      1,395      4.9
CN0503500000000   05     035   Crittenden County, AR                             2007        22,416       20,955      1,461      6.5
CN0503700000000   05     037   Cross County, AR                                  2007         8,457        7,833        624      7.4
CN0503900000000   05     039   Dallas County, AR                                 2007         3,881        3,608        273      7.0
CN0504100000000   05     041   Desha County, AR                                  2007         6,177        5,567        610      9.9
CN0504300000000   05     043   Drew County, AR                                   2007         8,501        7,870        631      7.4
CN0504500000000   05     045   Faulkner County, AR                               2007        55,212       52,793      2,419      4.4
CN0504700000000   05     047   Franklin County, AR                               2007         8,600        8,215        385      4.5
CN0504900000000   05     049   Fulton County, AR                                 2007         5,169        4,912        257      5.0
CN0505100000000   05     051   Garland County, AR                                2007        42,727       40,380      2,347      5.5
CN0505300000000   05     053   Grant County, AR                                  2007         8,587        8,162        425      4.9
CN0505500000000   05     055   Greene County, AR                                 2007        18,678       17,463      1,215      6.5
CN0505700000000   05     057   Hempstead County, AR                              2007        10,978       10,332        646      5.9
CN0505900000000   05     059   Hot Spring County, AR                             2007        15,477       14,654        823      5.3
CN0506100000000   05     061   Howard County, AR                                 2007         6,452        6,101        351      5.4
CN0506300000000   05     063   Independence County, AR                           2007        17,393       16,321      1,072      6.2
CN0506500000000   05     065   Izard County, AR                                  2007         5,445        5,125        320      5.9
CN0506700000000   05     067   Jackson County, AR                                2007         7,891        7,297        594      7.5
CN0506900000000   05     069   Jefferson County, AR                              2007        35,578       32,915      2,663      7.5
CN0507100000000   05     071   Johnson County, AR                                2007        11,443       10,892        551      4.8
CN0507300000000   05     073   Lafayette County, AR                              2007         3,143        2,908        235      7.5
CN0507500000000   05     075   Lawrence County, AR                               2007         7,400        6,894        506      6.8
CN0507700000000   05     077   Lee County, AR                                    2007         3,634        3,294        340      9.4
CN0507900000000   05     079   Lincoln County, AR                                2007         5,044        4,649        395      7.8
CN0508100000000   05     081   Little River County, AR                           2007         6,539        6,267        272      4.2
CN0508300000000   05     083   Logan County, AR                                  2007        10,575       10,048        527      5.0
CN0508500000000   05     085   Lonoke County, AR                                 2007        31,711       30,328      1,383      4.4
CN0508700000000   05     087   Madison County, AR                                2007         7,781        7,464        317      4.1
CN0508900000000   05     089   Marion County, AR                                 2007         7,052        6,671        381      5.4
CN0509100000000   05     091   Miller County, AR                                 2007        19,792       18,910        882      4.5
CN0509300000000   05     093   Mississippi County, AR                            2007        21,616       20,044      1,572      7.3
CN0509500000000   05     095   Monroe County, AR                                 2007         3,897        3,636        261      6.7
CN0509700000000   05     097   Montgomery County, AR                             2007         4,263        4,038        225      5.3
CN0509900000000   05     099   Nevada County, AR                                 2007         4,363        4,115        248      5.7
CN0510100000000   05     101   Newton County, AR                                 2007         3,520        3,342        178      5.1
CN0510300000000   05     103   Ouachita County, AR                               2007        12,054       11,178        876      7.3
CN0510500000000   05     105   Perry County, AR                                  2007         4,835        4,601        234      4.8
CN0510700000000   05     107   Phillips County, AR                               2007         9,060        8,403        657      7.3
CN0510900000000   05     109   Pike County, AR                                   2007         5,240        4,944        296      5.6
CN0511100000000   05     111   Poinsett County, AR                               2007        10,923       10,132        791      7.2
CN0511300000000   05     113   Polk County, AR                                   2007         8,904        8,467        437      4.9
CN0511500000000   05     115   Pope County, AR                                   2007        30,274       28,835      1,439      4.8
CN0511700000000   05     117   Prairie County, AR                                2007         4,436        4,182        254      5.7
CN0511900000000   05     119   Pulaski County, AR                                2007       191,162      182,117      9,045      4.7
CN0512100000000   05     121   Randolph County, AR                               2007         7,666        6,956        710      9.3
CN0512300000000   05     123   St. Francis County, AR                            2007        10,561        9,546      1,015      9.6
CN0512500000000   05     125   Saline County, AR                                 2007        49,069       47,019      2,050      4.2
CN0512700000000   05     127   Scott County, AR                                  2007         4,880        4,655        225      4.6
CN0512900000000   05     129   Searcy County, AR                                 2007         3,628        3,451        177      4.9
CN0513100000000   05     131   Sebastian County, AR                              2007        62,414       59,205      3,209      5.1
CN0513300000000   05     133   Sevier County, AR                                 2007         7,801        7,480        321      4.1
CN0513500000000   05     135   Sharp County, AR                                  2007         6,448        6,015        433      6.7
CN0513700000000   05     137   Stone County, AR                                  2007         4,804        4,531        273      5.7
CN0513900000000   05     139   Union County, AR                                  2007        19,462       18,130      1,332      6.8
CN0514100000000   05     141   Van Buren County, AR                              2007         7,058        6,640        418      5.9
CN0514300000000   05     143   Washington County, AR                             2007       104,859      100,817      4,042      3.9
CN0514500000000   05     145   White County, AR                                  2007        32,094       29,988      2,106      6.6
CN0514700000000   05     147   Woodruff County, AR                               2007         3,539        3,231        308      8.7
CN0514900000000   05     149   Yell County, AR                                   2007        10,645       10,189        456      4.3
CN0600100000000   06     001   Alameda County, CA                                2007       745,198      710,144     35,054      4.7
CN0600300000000   06     003   Alpine County, CA                                 2007           493          454         39      7.9
CN0600500000000   06     005   Amador County, CA                                 2007        17,703       16,675      1,028      5.8
CN0600700000000   06     007   Butte County, CA                                  2007       101,228       94,489      6,739      6.7
CN0600900000000   06     009   Calaveras County, CA                              2007        20,725       19,394      1,331      6.4
CN0601100000000   06     011   Colusa County, CA                                 2007        10,217        9,015      1,202     11.8
CN0601300000000   06     013   Contra Costa County, CA                           2007       514,317      490,220     24,097      4.7
CN0601500000000   06     015   Del Norte County, CA                              2007        11,029       10,199        830      7.5
CN0601700000000   06     017   El Dorado County, CA                              2007        90,382       85,707      4,675      5.2
CN0601900000000   06     019   Fresno County, CA                                 2007       418,579      382,789     35,790      8.6
CN0602100000000   06     021   Glenn County, CA                                  2007        11,975       10,921      1,054      8.8
CN0602300000000   06     023   Humboldt County, CA                               2007        59,282       55,775      3,507      5.9
CN0602500000000   06     025   Imperial County, CA                               2007        65,967       54,052     11,915     18.1
CN0602700000000   06     027   Inyo County, CA                                   2007         8,885        8,447        438      4.9
CN0602900000000   06     029   Kern County, CA                                   2007       345,187      316,959     28,228      8.2
CN0603100000000   06     031   Kings County, CA                                  2007        57,327       52,353      4,974      8.7
CN0603300000000   06     033   Lake County, CA                                   2007        24,041       22,010      2,031      8.4
CN0603500000000   06     035   Lassen County, CA                                 2007        12,436       11,422      1,014      8.2
CN0603700000000   06     037   Los Angeles County, CA                            2007     4,864,160    4,614,776    249,384      5.1
CN0603900000000   06     039   Madera County, CA                                 2007        63,365       58,620      4,745      7.5
CN0604100000000   06     041   Marin County, CA                                  2007       131,904      127,083      4,821      3.7
CN0604300000000   06     043   Mariposa County, CA                               2007         9,061        8,515        546      6.0
CN0604500000000   06     045   Mendocino County, CA                              2007        43,115       40,744      2,371      5.5
CN0604700000000   06     047   Merced County, CA                                 2007        99,843       89,797     10,046     10.1
CN0604900000000   06     049   Modoc County, CA                                  2007         3,896        3,582        314      8.1
CN0605100000000   06     051   Mono County, CA                                   2007         8,132        7,741        391      4.8
CN0605300000000   06     053   Monterey County, CA                               2007       205,460      190,781     14,679      7.1
CN0605500000000   06     055   Napa County, CA                                   2007        73,232       70,286      2,946      4.0
CN0605700000000   06     057   Nevada County, CA                                 2007        50,125       47,719      2,406      4.8
CN0605900000000   06     059   Orange County, CA                                 2007     1,606,177    1,543,703     62,474      3.9
CN0606100000000   06     061   Placer County, CA                                 2007       172,478      164,247      8,231      4.8
CN0606300000000   06     063   Plumas County, CA                                 2007         9,948        9,099        849      8.5
CN0606500000000   06     065   Riverside County, CA                              2007       902,047      847,618     54,429      6.0
CN0606700000000   06     067   Sacramento County, CA                             2007       675,800      639,075     36,725      5.4
CN0606900000000   06     069   San Benito County, CA                             2007        24,005       22,269      1,736      7.2
CN0607100000000   06     071   San Bernardino County, CA                         2007       862,191      813,867     48,324      5.6
CN0607300000000   06     073   San Diego County, CA                              2007     1,515,351    1,446,347     69,004      4.6
CN0607500000000   06     075   San Francisco County/city, CA                     2007       432,564      414,199     18,365      4.2
CN0607700000000   06     077   San Joaquin County, CA                            2007       288,638      265,279     23,359      8.1
CN0607900000000   06     079   San Luis Obispo County, CA                        2007       134,026      128,276      5,750      4.3
CN0608100000000   06     081   San Mateo County, CA                              2007       369,503      355,415     14,088      3.8
CN0608300000000   06     083   Santa Barbara County, CA                          2007       213,473      204,163      9,310      4.4
CN0608500000000   06     085   Santa Clara County, CA                            2007       843,437      803,877     39,560      4.7
CN0608700000000   06     087   Santa Cruz County, CA                             2007       144,713      136,158      8,555      5.9
CN0608900000000   06     089   Shasta County, CA                                 2007        82,540       76,350      6,190      7.5
CN0609100000000   06     091   Sierra County, CA                                 2007         1,610        1,482        128      8.0
CN0609300000000   06     093   Siskiyou County, CA                               2007        18,786       17,192      1,594      8.5
CN0609500000000   06     095   Solano County, CA                                 2007       208,196      197,214     10,982      5.3
CN0609700000000   06     097   Sonoma County, CA                                 2007       257,316      246,143     11,173      4.3
CN0609900000000   06     099   Stanislaus County, CA                             2007       226,889      207,202     19,687      8.7
CN0610100000000   06     101   Sutter County, CA                                 2007        40,987       37,022      3,965      9.7
CN0610300000000   06     103   Tehama County, CA                                 2007        24,859       23,061      1,798      7.2
CN0610500000000   06     105   Trinity County, CA                                2007         5,024        4,499        525     10.4
CN0610700000000   06     107   Tulare County, CA                                 2007       191,568      173,855     17,713      9.2
CN0610900000000   06     109   Tuolumne County, CA                               2007        25,775       24,176      1,599      6.2
CN0611100000000   06     111   Ventura County, CA                                2007       423,062      402,396     20,666      4.9
CN0611300000000   06     113   Yolo County, CA                                   2007        97,518       91,928      5,590      5.7
CN0611500000000   06     115   Yuba County, CA                                   2007        27,345       24,813      2,532      9.3
CN0800100000000   08     001   Adams County, CO                                  2007       219,560      210,306      9,254      4.2
CN0800300000000   08     003   Alamosa County, CO                                2007         8,352        8,022        330      4.0
CN0800500000000   08     005   Arapahoe County, CO                               2007       304,913      293,497     11,416      3.7
CN0800700000000   08     007   Archuleta County, CO                              2007         6,604        6,354        250      3.8
CN0800900000000   08     009   Baca County, CO                                   2007         2,398        2,338         60      2.5
CN0801100000000   08     011   Bent County, CO                                   2007         2,424        2,307        117      4.8
CN0801300000000   08     013   Boulder County, CO                                2007       173,647      167,953      5,694      3.3
CN0801400000000   08     014   Broomfield County/city, CO                        2007        29,984       28,928      1,056      3.5
CN0801500000000   08     015   Chaffee County, CO                                2007         8,211        7,918        293      3.6
CN0801700000000   08     017   Cheyenne County, CO                               2007         1,366        1,332         34      2.5
CN0801900000000   08     019   Clear Creek County, CO                            2007         5,648        5,441        207      3.7
CN0802100000000   08     021   Conejos County, CO                                2007         3,640        3,438        202      5.5
CN0802300000000   08     023   Costilla County, CO                               2007         1,303        1,211         92      7.1
CN0802500000000   08     025   Crowley County, CO                                2007         1,923        1,802        121      6.3
CN0802700000000   08     027   Custer County, CO                                 2007         1,994        1,915         79      4.0
CN0802900000000   08     029   Delta County, CO                                  2007        16,412       15,871        541      3.3
CN0803100000000   08     031   Denver County/city, CO                            2007       314,781      301,750     13,031      4.1
CN0803300000000   08     033   Dolores County, CO                                2007         1,030          979         51      5.0
CN0803500000000   08     035   Douglas County, CO                                2007       154,953      150,126      4,827      3.1
CN0803700000000   08     037   Eagle County, CO                                  2007        30,929       30,053        876      2.8
CN0803900000000   08     039   Elbert County, CO                                 2007        12,798       12,327        471      3.7
CN0804100000000   08     041   El Paso County, CO                                2007       297,494      284,858     12,636      4.2
CN0804300000000   08     043   Fremont County, CO                                2007        19,646       18,720        926      4.7
CN0804500000000   08     045   Garfield County, CO                               2007        34,945       34,088        857      2.5
CN0804700000000   08     047   Gilpin County, CO                                 2007         3,414        3,295        119      3.5
CN0804900000000   08     049   Grand County, CO                                  2007         9,158        8,920        238      2.6
CN0805100000000   08     051   Gunnison County, CO                               2007         9,522        9,254        268      2.8
CN0805300000000   08     053   Hinsdale County, CO                               2007           608          591         17      2.8
CN0805500000000   08     055   Huerfano County, CO                               2007         3,353        3,194        159      4.7
CN0805700000000   08     057   Jackson County, CO                                2007         1,103        1,075         28      2.5
CN0805900000000   08     059   Jefferson County, CO                              2007       303,357      292,287     11,070      3.6
CN0806100000000   08     061   Kiowa County, CO                                  2007           911          887         24      2.6
CN0806300000000   08     063   Kit Carson County, CO                             2007         4,475        4,355        120      2.7
CN0806500000000   08     065   Lake County, CO                                   2007         4,028        3,884        144      3.6
CN0806700000000   08     067   La Plata County, CO                               2007        31,007       30,143        864      2.8
CN0806900000000   08     069   Larimer County, CO                                2007       172,024      166,224      5,800      3.4
CN0807100000000   08     071   Las Animas County, CO                             2007         8,695        8,381        314      3.6
CN0807300000000   08     073   Lincoln County, CO                                2007         3,014        2,922         92      3.1
CN0807500000000   08     075   Logan County, CO                                  2007        11,321       10,975        346      3.1
CN0807700000000   08     077   Mesa County, CO                                   2007        77,873       75,412      2,461      3.2
CN0807900000000   08     079   Mineral County, CO                                2007           471          451         20      4.2
CN0808100000000   08     081   Moffat County, CO                                 2007         8,521        8,260        261      3.1
CN0808300000000   08     083   Montezuma County, CO                              2007        13,172       12,664        508      3.9
CN0808500000000   08     085   Montrose County, CO                               2007        20,744       20,003        741      3.6
CN0808700000000   08     087   Morgan County, CO                                 2007        14,221       13,746        475      3.3
CN0808900000000   08     089   Otero County, CO                                  2007         8,813        8,374        439      5.0
CN0809100000000   08     091   Ouray County, CO                                  2007         3,051        2,962         89      2.9
CN0809300000000   08     093   Park County, CO                                   2007         9,602        9,256        346      3.6
CN0809500000000   08     095   Phillips County, CO                               2007         2,420        2,354         66      2.7
CN0809700000000   08     097   Pitkin County, CO                                 2007        11,271       10,967        304      2.7
CN0809900000000   08     099   Prowers County, CO                                2007         6,790        6,556        234      3.4
CN0810100000000   08     101   Pueblo County, CO                                 2007        71,808       68,431      3,377      4.7
CN0810300000000   08     103   Rio Blanco County, CO                             2007         5,344        5,234        110      2.1
CN0810500000000   08     105   Rio Grande County, CO                             2007         6,543        6,284        259      4.0
CN0810700000000   08     107   Routt County, CO                                  2007        15,692       15,285        407      2.6
CN0810900000000   08     109   Saguache County, CO                               2007         3,158        2,993        165      5.2
CN0811100000000   08     111   San Juan County, CO                               2007           563          540         23      4.1
CN0811300000000   08     113   San Miguel County, CO                             2007         5,652        5,477        175      3.1
CN0811500000000   08     115   Sedgwick County, CO                               2007         1,826        1,786         40      2.2
CN0811700000000   08     117   Summit County, CO                                 2007        17,129       16,663        466      2.7
CN0811900000000   08     119   Teller County, CO                                 2007        12,415       11,936        479      3.9
CN0812100000000   08     121   Washington County, CO                             2007         2,880        2,803         77      2.7
CN0812300000000   08     123   Weld County, CO                                   2007       117,044      112,271      4,773      4.1
CN0812500000000   08     125   Yuma County, CO                                   2007         6,734        6,591        143      2.1
CN0900100000000   09     001   Fairfield County, CT                              2007       466,532      448,188     18,344      3.9
CN0900300000000   09     003   Hartford County, CT                               2007       452,749      430,746     22,003      4.9
CN0900500000000   09     005   Litchfield County, CT                             2007       104,535      100,133      4,402      4.2
CN0900700000000   09     007   Middlesex County, CT                              2007        93,011       89,397      3,614      3.9
CN0900900000000   09     009   New Haven County, CT                              2007       444,223      422,247     21,976      4.9
CN0901100000000   09     011   New London County, CT                             2007       147,559      141,400      6,159      4.2
CN0901300000000   09     013   Tolland County, CT                                2007        83,967       80,742      3,225      3.8
CN0901500000000   09     015   Windham County, CT                                2007        63,624       60,303      3,321      5.2
CN1000100000000   10     001   Kent County, DE                                   2007        75,038       72,517      2,521      3.4
CN1000300000000   10     003   New Castle County, DE                             2007       275,852      266,221      9,631      3.5
CN1000500000000   10     005   Sussex County, DE                                 2007        92,683       89,574      3,109      3.4
CN1100100000000   11     001   District of Columbia                              2007       322,237      304,426     17,811      5.5
CN1200100000000   12     001   Alachua County, FL                                2007       129,010      125,102      3,908      3.0
CN1200300000000   12     003   Baker County, FL                                  2007        11,913       11,477        436      3.7
CN1200500000000   12     005   Bay County, FL                                    2007        86,754       83,532      3,222      3.7
CN1200700000000   12     007   Bradford County, FL                               2007        12,341       11,917        424      3.4
CN1200900000000   12     009   Brevard County, FL                                2007       265,782      254,099     11,683      4.4
CN1201100000000   12     011   Broward County, FL                                2007     1,000,426      964,482     35,944      3.6
CN1201300000000   12     013   Calhoun County, FL                                2007         5,550        5,345        205      3.7
CN1201500000000   12     015   Charlotte County, FL                              2007        69,876       66,269      3,607      5.2
CN1201700000000   12     017   Citrus County, FL                                 2007        55,641       52,797      2,844      5.1
CN1201900000000   12     019   Clay County, FL                                   2007        93,804       90,475      3,329      3.5
CN1202100000000   12     021   Collier County, FL                                2007       151,925      145,183      6,742      4.4
CN1202300000000   12     023   Columbia County, FL                               2007        30,955       29,823      1,132      3.7
CN1202700000000   12     027   DeSoto County, FL                                 2007        14,328       13,620        708      4.9
CN1202900000000   12     029   Dixie County, FL                                  2007         5,535        5,290        245      4.4
CN1203100000000   12     031   Duval County, FL                                  2007       441,216      422,676     18,540      4.2
CN1203300000000   12     033   Escambia County, FL                               2007       140,808      135,212      5,596      4.0
CN1203500000000   12     035   Flagler County, FL                                2007        30,928       28,887      2,041      6.6
CN1203700000000   12     037   Franklin County, FL                               2007         4,922        4,763        159      3.2
CN1203900000000   12     039   Gadsden County, FL                                2007        20,770       19,853        917      4.4
