                               Labor Force Data by County, 2002 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2002        22,094       21,035      1,059      4.8
CN0100300000000   01     003   Baldwin County, AL                                2002        69,169       65,691      3,478      5.0
CN0100500000000   01     005   Barbour County, AL                                2002        10,971       10,125        846      7.7
CN0100700000000   01     007   Bibb County, AL                                   2002         8,933        8,309        624      7.0
CN0100900000000   01     009   Blount County, AL                                 2002        25,757       24,366      1,391      5.4
CN0101100000000   01     011   Bullock County, AL                                2002         3,877        3,483        394     10.2
CN0101300000000   01     013   Butler County, AL                                 2002         9,144        8,424        720      7.9
CN0101500000000   01     015   Calhoun County, AL                                2002        51,952       48,851      3,101      6.0
CN0101700000000   01     017   Chambers County, AL                               2002        17,158       16,010      1,148      6.7
CN0101900000000   01     019   Cherokee County, AL                               2002        11,555       11,007        548      4.7
CN0102100000000   01     021   Chilton County, AL                                2002        19,393       18,403        990      5.1
CN0102300000000   01     023   Choctaw County, AL                                2002         5,731        5,224        507      8.8
CN0102500000000   01     025   Clarke County, AL                                 2002        10,718        9,747        971      9.1
CN0102700000000   01     027   Clay County, AL                                   2002         6,146        5,763        383      6.2
CN0102900000000   01     029   Cleburne County, AL                               2002         6,774        6,436        338      5.0
CN0103100000000   01     031   Coffee County, AL                                 2002        19,300       18,301        999      5.2
CN0103300000000   01     033   Colbert County, AL                                2002        24,971       22,891      2,080      8.3
CN0103500000000   01     035   Conecuh County, AL                                2002         5,163        4,740        423      8.2
CN0103700000000   01     037   Coosa County, AL                                  2002         5,182        4,699        483      9.3
CN0103900000000   01     039   Covington County, AL                              2002        17,095       16,082      1,013      5.9
CN0104100000000   01     041   Crenshaw County, AL                               2002         5,827        5,473        354      6.1
CN0104300000000   01     043   Cullman County, AL                                2002        37,936       35,655      2,281      6.0
CN0104500000000   01     045   Dale County, AL                                   2002        20,260       19,107      1,153      5.7
CN0104700000000   01     047   Dallas County, AL                                 2002        17,135       15,181      1,954     11.4
CN0104900000000   01     049   DeKalb County, AL                                 2002        32,384       30,717      1,667      5.1
CN0105100000000   01     051   Elmore County, AL                                 2002        31,677       30,160      1,517      4.8
CN0105300000000   01     053   Escambia County, AL                               2002        14,917       13,619      1,298      8.7
CN0105500000000   01     055   Etowah County, AL                                 2002        46,892       43,899      2,993      6.4
CN0105700000000   01     057   Fayette County, AL                                2002         7,881        7,209        672      8.5
CN0105900000000   01     059   Franklin County, AL                               2002        13,686       12,154      1,532     11.2
CN0106100000000   01     061   Geneva County, AL                                 2002        11,709       11,131        578      4.9
CN0106300000000   01     063   Greene County, AL                                 2002         3,522        3,224        298      8.5
CN0106500000000   01     065   Hale County, AL                                   2002         7,054        6,462        592      8.4
CN0106700000000   01     067   Henry County, AL                                  2002         7,530        7,075        455      6.0
CN0106900000000   01     069   Houston County, AL                                2002        44,752       42,631      2,121      4.7
CN0107100000000   01     071   Jackson County, AL                                2002        26,798       24,913      1,885      7.0
CN0107300000000   01     073   Jefferson County, AL                              2002       322,122      305,378     16,744      5.2
CN0107500000000   01     075   Lamar County, AL                                  2002         6,961        6,374        587      8.4
CN0107700000000   01     077   Lauderdale County, AL                             2002        41,969       38,359      3,610      8.6
CN0107900000000   01     079   Lawrence County, AL                               2002        16,093       15,001      1,092      6.8
CN0108100000000   01     081   Lee County, AL                                    2002        59,209       56,499      2,710      4.6
CN0108300000000   01     083   Limestone County, AL                              2002        33,129       31,358      1,771      5.3
CN0108500000000   01     085   Lowndes County, AL                                2002         5,032        4,584        448      8.9
CN0108700000000   01     087   Macon County, AL                                  2002         8,762        8,197        565      6.4
CN0108900000000   01     089   Madison County, AL                                2002       149,904      143,021      6,883      4.6
CN0109100000000   01     091   Marengo County, AL                                2002         8,975        8,404        571      6.4
CN0109300000000   01     093   Marion County, AL                                 2002        12,647       11,542      1,105      8.7
CN0109500000000   01     095   Marshall County, AL                               2002        40,340       37,942      2,398      5.9
CN0109700000000   01     097   Mobile County, AL                                 2002       181,590      169,842     11,748      6.5
CN0109900000000   01     099   Monroe County, AL                                 2002         9,708        8,888        820      8.4
CN0110100000000   01     101   Montgomery County, AL                             2002       103,870       98,333      5,537      5.3
CN0110300000000   01     103   Morgan County, AL                                 2002        55,311       51,794      3,517      6.4
CN0110500000000   01     105   Perry County, AL                                  2002         3,847        3,393        454     11.8
CN0110700000000   01     107   Pickens County, AL                                2002         8,248        7,569        679      8.2
CN0110900000000   01     109   Pike County, AL                                   2002        13,707       12,888        819      6.0
CN0111100000000   01     111   Randolph County, AL                               2002         9,682        9,025        657      6.8
CN0111300000000   01     113   Russell County, AL                                2002        21,454       19,951      1,503      7.0
CN0111500000000   01     115   St. Clair County, AL                              2002        31,935       30,304      1,631      5.1
CN0111700000000   01     117   Shelby County, AL                                 2002        85,670       82,640      3,030      3.5
CN0111900000000   01     119   Sumter County, AL                                 2002         5,100        4,642        458      9.0
CN0112100000000   01     121   Talladega County, AL                              2002        37,297       34,552      2,745      7.4
CN0112300000000   01     123   Tallapoosa County, AL                             2002        18,860       17,377      1,483      7.9
CN0112500000000   01     125   Tuscaloosa County, AL                             2002        81,553       77,763      3,790      4.6
CN0112700000000   01     127   Walker County, AL                                 2002        30,684       28,737      1,947      6.3
CN0112900000000   01     129   Washington County, AL                             2002         7,167        6,423        744     10.4
CN0113100000000   01     131   Wilcox County, AL                                 2002         3,816        3,380        436     11.4
CN0113300000000   01     133   Winston County, AL                                2002        10,478        9,561        917      8.8
CN0201300000000   02     013   Aleutians East Borough, AK                        2002           969          883         86      8.9
CN0201600000000   02     016   Aleutians West Census Area, AK                    2002         2,733        2,560        173      6.3
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2002       143,887      135,505      8,382      5.8
CN0205000000000   02     050   Bethel Census Area, AK                            2002         6,835        6,109        726     10.6
CN0206000000000   02     060   Bristol Bay Borough, AK                           2002           905          844         61      6.7
CN0206800000000   02     068   Denali Borough, AK                                2002         1,523        1,411        112      7.4
CN0207000000000   02     070   Dillingham Census Area, AK                        2002         1,930        1,734        196     10.2
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2002        41,826       39,065      2,761      6.6
CN0210000000000   02     100   Haines Borough, AK                                2002         1,277        1,130        147     11.5
CN0211000000000   02     110   Juneau Borough/city, AK                           2002        17,963       16,979        984      5.5
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2002        24,790       22,402      2,388      9.6
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2002         7,768        7,113        655      8.4
CN0215000000000   02     150   Kodiak Island Borough, AK                         2002         6,294        5,724        570      9.1
CN0215800000000   02     158   Kusilvak Census Area, AK                          2002         2,486        2,051        435     17.5
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2002           917          847         70      7.6
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2002        31,314       28,722      2,592      8.3
CN0218000000000   02     180   Nome Census Area, AK                              2002         3,857        3,470        387     10.0
CN0218500000000   02     185   North Slope Borough, AK                           2002         3,765        3,438        327      8.7
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2002         3,064        2,712        352     11.5
CN0220100000000   02     201   Prince of Wales-Outer Ketchikan Census Area, AK   2002         2,352        1,984        368     15.6
CN0222000000000   02     220   Sitka Borough/city, AK                            2002         4,610        4,339        271      5.9
CN0223200000000   02     232   Skagway-Hoonah-Angoon Census Area, AK             2002         1,797        1,576        221     12.3
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2002         2,266        1,951        315     13.9
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2002         5,196        4,681        515      9.9
CN0228000000000   02     280   Wrangell-Petersburg Census Area, AK               2002         2,993        2,654        339     11.3
CN0228200000000   02     282   Yakutat Borough/city, AK                          2002           317          288         29      9.1
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2002         2,767        2,407        360     13.0
CN0400100000000   04     001   Apache County, AZ                                 2002        20,401       18,158      2,243     11.0
CN0400300000000   04     003   Cochise County, AZ                                2002        52,540       49,440      3,100      5.9
CN0400500000000   04     005   Coconino County, AZ                               2002        65,749       62,156      3,593      5.5
CN0400700000000   04     007   Gila County, AZ                                   2002        21,006       19,433      1,573      7.5
CN0400900000000   04     009   Graham County, AZ                                 2002        12,103       11,174        929      7.7
CN0401100000000   04     011   Greenlee County, AZ                               2002         3,621        3,349        272      7.5
CN0401200000000   04     012   La Paz County, AZ                                 2002         7,267        6,768        499      6.9
CN0401300000000   04     013   Maricopa County, AZ                               2002     1,715,246    1,619,099     96,147      5.6
CN0401500000000   04     015   Mohave County, AZ                                 2002        77,562       73,185      4,377      5.6
CN0401700000000   04     017   Navajo County, AZ                                 2002        36,886       33,744      3,142      8.5
CN0401900000000   04     019   Pima County, AZ                                   2002       423,719      399,541     24,178      5.7
CN0402100000000   04     021   Pinal County, AZ                                  2002        75,825       70,253      5,572      7.3
