                               Labor Force Data by County, 2000 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2000        21,720       20,846        874      4.0
CN0100300000000   01     003   Baldwin County, AL                                2000        69,533       66,971      2,562      3.7
CN0100500000000   01     005   Barbour County, AL                                2000        11,373       10,748        625      5.5
CN0100700000000   01     007   Bibb County, AL                                   2000         8,565        8,111        454      5.3
CN0100900000000   01     009   Blount County, AL                                 2000        25,106       24,231        875      3.5
CN0101100000000   01     011   Bullock County, AL                                2000         3,971        3,635        336      8.5
CN0101300000000   01     013   Butler County, AL                                 2000         9,156        8,445        711      7.8
CN0101500000000   01     015   Calhoun County, AL                                2000        52,896       50,223      2,673      5.1
CN0101700000000   01     017   Chambers County, AL                               2000        17,373       16,610        763      4.4
CN0101900000000   01     019   Cherokee County, AL                               2000        11,304       10,797        507      4.5
CN0102100000000   01     021   Chilton County, AL                                2000        19,475       18,641        834      4.3
CN0102300000000   01     023   Choctaw County, AL                                2000         6,184        5,781        403      6.5
CN0102500000000   01     025   Clarke County, AL                                 2000        11,597       10,750        847      7.3
CN0102700000000   01     027   Clay County, AL                                   2000         6,565        6,163        402      6.1
CN0102900000000   01     029   Cleburne County, AL                               2000         6,958        6,676        282      4.1
CN0103100000000   01     031   Coffee County, AL                                 2000        19,902       18,748      1,154      5.8
CN0103300000000   01     033   Colbert County, AL                                2000        25,950       24,511      1,439      5.5
CN0103500000000   01     035   Conecuh County, AL                                2000         5,483        5,127        356      6.5
CN0103700000000   01     037   Coosa County, AL                                  2000         5,295        5,009        286      5.4
CN0103900000000   01     039   Covington County, AL                              2000        17,316       16,124      1,192      6.9
CN0104100000000   01     041   Crenshaw County, AL                               2000         6,115        5,766        349      5.7
CN0104300000000   01     043   Cullman County, AL                                2000        38,647       37,053      1,594      4.1
CN0104500000000   01     045   Dale County, AL                                   2000        20,785       19,702      1,083      5.2
CN0104700000000   01     047   Dallas County, AL                                 2000        17,823       16,389      1,434      8.0
CN0104900000000   01     049   DeKalb County, AL                                 2000        32,308       31,009      1,299      4.0
CN0105100000000   01     051   Elmore County, AL                                 2000        30,995       29,767      1,228      4.0
CN0105300000000   01     053   Escambia County, AL                               2000        16,092       15,257        835      5.2
CN0105500000000   01     055   Etowah County, AL                                 2000        48,177       45,380      2,797      5.8
CN0105700000000   01     057   Fayette County, AL                                2000         8,276        7,792        484      5.8
CN0105900000000   01     059   Franklin County, AL                               2000        14,629       13,674        955      6.5
CN0106100000000   01     061   Geneva County, AL                                 2000        12,180       11,562        618      5.1
CN0106300000000   01     063   Greene County, AL                                 2000         3,510        3,271        239      6.8
CN0106500000000   01     065   Hale County, AL                                   2000         6,976        6,557        419      6.0
CN0106700000000   01     067   Henry County, AL                                  2000         7,634        7,259        375      4.9
CN0106900000000   01     069   Houston County, AL                                2000        45,170       43,186      1,984      4.4
CN0107100000000   01     071   Jackson County, AL                                2000        27,899       26,454      1,445      5.2
CN0107300000000   01     073   Jefferson County, AL                              2000       329,015      315,985     13,030      4.0
CN0107500000000   01     075   Lamar County, AL                                  2000         7,446        6,929        517      6.9
CN0107700000000   01     077   Lauderdale County, AL                             2000        43,446       41,285      2,161      5.0
CN0107900000000   01     079   Lawrence County, AL                               2000        16,573       15,749        824      5.0
CN0108100000000   01     081   Lee County, AL                                    2000        58,023       55,711      2,312      4.0
