                               Labor Force Data by County, 2005 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2005        23,949       23,037        912      3.8
CN0100300000000   01     003   Baldwin County, AL                                2005        76,804       73,743      3,061      4.0
CN0100500000000   01     005   Barbour County, AL                                2005        10,760       10,136        624      5.8
CN0100700000000   01     007   Bibb County, AL                                   2005         8,861        8,463        398      4.5
CN0100900000000   01     009   Blount County, AL                                 2005        26,446       25,491        955      3.6
CN0101100000000   01     011   Bullock County, AL                                2005         3,747        3,391        356      9.5
CN0101300000000   01     013   Butler County, AL                                 2005         9,139        8,547        592      6.5
CN0101500000000   01     015   Calhoun County, AL                                2005        53,955       51,524      2,431      4.5
CN0101700000000   01     017   Chambers County, AL                               2005        16,353       15,413        940      5.7
CN0101900000000   01     019   Cherokee County, AL                               2005        12,044       11,519        525      4.4
CN0102100000000   01     021   Chilton County, AL                                2005        19,674       18,901        773      3.9
CN0102300000000   01     023   Choctaw County, AL                                2005         5,300        4,951        349      6.6
CN0102500000000   01     025   Clarke County, AL                                 2005        10,126        9,478        648      6.4
CN0102700000000   01     027   Clay County, AL                                   2005         5,950        5,655        295      5.0
CN0102900000000   01     029   Cleburne County, AL                               2005         6,659        6,396        263      3.9
CN0103100000000   01     031   Coffee County, AL                                 2005        20,104       19,320        784      3.9
CN0103300000000   01     033   Colbert County, AL                                2005        24,960       23,610      1,350      5.4
CN0103500000000   01     035   Conecuh County, AL                                2005         5,188        4,866        322      6.2
CN0103700000000   01     037   Coosa County, AL                                  2005         4,892        4,645        247      5.0
CN0103900000000   01     039   Covington County, AL                              2005        16,933       16,167        766      4.5
CN0104100000000   01     041   Crenshaw County, AL                               2005         6,186        5,882        304      4.9
CN0104300000000   01     043   Cullman County, AL                                2005        38,494       36,946      1,548      4.0
CN0104500000000   01     045   Dale County, AL                                   2005        20,168       19,269        899      4.5
CN0104700000000   01     047   Dallas County, AL                                 2005        16,007       14,636      1,371      8.6
CN0104900000000   01     049   DeKalb County, AL                                 2005        31,239       29,648      1,591      5.1
CN0105100000000   01     051   Elmore County, AL                                 2005        34,448       33,157      1,291      3.7
CN0105300000000   01     053   Escambia County, AL                               2005        14,329       13,530        799      5.6
CN0105500000000   01     055   Etowah County, AL                                 2005        46,762       44,542      2,220      4.7
CN0105700000000   01     057   Fayette County, AL                                2005         7,886        7,533        353      4.5
CN0105900000000   01     059   Franklin County, AL                               2005        13,789       13,059        730      5.3
CN0106100000000   01     061   Geneva County, AL                                 2005        11,628       11,174        454      3.9
CN0106300000000   01     063   Greene County, AL                                 2005         3,456        3,225        231      6.7
CN0106500000000   01     065   Hale County, AL                                   2005         7,053        6,669        384      5.4
CN0106700000000   01     067   Henry County, AL                                  2005         7,469        7,146        323      4.3
CN0106900000000   01     069   Houston County, AL                                2005        46,102       44,334      1,768      3.8
CN0107100000000   01     071   Jackson County, AL                                2005        26,776       25,427      1,349      5.0
CN0107300000000   01     073   Jefferson County, AL                              2005       317,359      303,260     14,099      4.4
CN0107500000000   01     075   Lamar County, AL                                  2005         6,132        5,788        344      5.6
