                               Labor Force Data by County, 2019 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2019        26,172       25,458        714      2.7
CN0100300000000   01     003   Baldwin County, AL                                2019        97,328       94,675      2,653      2.7
CN0100500000000   01     005   Barbour County, AL                                2019         8,537        8,213        324      3.8
CN0100700000000   01     007   Bibb County, AL                                   2019         8,685        8,419        266      3.1
CN0100900000000   01     009   Blount County, AL                                 2019        25,331       24,655        676      2.7
CN0101100000000   01     011   Bullock County, AL                                2019         4,818        4,643        175      3.6
CN0101300000000   01     013   Butler County, AL                                 2019         9,263        8,925        338      3.6
CN0101500000000   01     015   Calhoun County, AL                                2019        46,209       44,574      1,635      3.5
CN0101700000000   01     017   Chambers County, AL                               2019        15,748       15,286        462      2.9
CN0101900000000   01     019   Cherokee County, AL                               2019        11,604       11,266        338      2.9
CN0102100000000   01     021   Chilton County, AL                                2019        19,818       19,280        538      2.7
CN0102300000000   01     023   Choctaw County, AL                                2019         4,670        4,452        218      4.7
CN0102500000000   01     025   Clarke County, AL                                 2019         7,557        7,121        436      5.8
CN0102700000000   01     027   Clay County, AL                                   2019         6,101        5,918        183      3.0
CN0102900000000   01     029   Cleburne County, AL                               2019         5,806        5,623        183      3.2
CN0103100000000   01     031   Coffee County, AL                                 2019        21,402       20,779        623      2.9
CN0103300000000   01     033   Colbert County, AL                                2019        23,646       22,761        885      3.7
CN0103500000000   01     035   Conecuh County, AL                                2019         4,533        4,353        180      4.0
CN0103700000000   01     037   Coosa County, AL                                  2019         4,549        4,414        135      3.0
CN0103900000000   01     039   Covington County, AL                              2019        15,653       15,119        534      3.4
CN0104100000000   01     041   Crenshaw County, AL                               2019         6,476        6,293        183      2.8
CN0104300000000   01     043   Cullman County, AL                                2019        38,646       37,648        998      2.6
CN0104500000000   01     045   Dale County, AL                                   2019        20,724       20,082        642      3.1
CN0104700000000   01     047   Dallas County, AL                                 2019        14,711       13,904        807      5.5
CN0104900000000   01     049   DeKalb County, AL                                 2019        31,052       30,182        870      2.8
CN0105100000000   01     051   Elmore County, AL                                 2019        37,565       36,586        979      2.6
CN0105300000000   01     053   Escambia County, AL                               2019        14,762       14,248        514      3.5
CN0105500000000   01     055   Etowah County, AL                                 2019        42,723       41,295      1,428      3.3
CN0105700000000   01     057   Fayette County, AL                                2019         6,579        6,372        207      3.1
CN0105900000000   01     059   Franklin County, AL                               2019        14,696       14,291        405      2.8
CN0106100000000   01     061   Geneva County, AL                                 2019        11,045       10,725        320      2.9
