                               Labor Force Data by County, 2008 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2008        24,687       23,420      1,267      5.1
CN0100300000000   01     003   Baldwin County, AL                                2008        83,223       79,372      3,851      4.6
CN0100500000000   01     005   Barbour County, AL                                2008        10,161        9,267        894      8.8
CN0100700000000   01     007   Bibb County, AL                                   2008         8,749        8,241        508      5.8
CN0100900000000   01     009   Blount County, AL                                 2008        26,698       25,453      1,245      4.7
CN0101100000000   01     011   Bullock County, AL                                2008         3,634        3,251        383     10.5
CN0101300000000   01     013   Butler County, AL                                 2008         9,051        8,278        773      8.5
CN0101500000000   01     015   Calhoun County, AL                                2008        54,564       51,468      3,096      5.7
CN0101700000000   01     017   Chambers County, AL                               2008        15,012       12,848      2,164     14.4
CN0101900000000   01     019   Cherokee County, AL                               2008        11,996       11,308        688      5.7
CN0102100000000   01     021   Chilton County, AL                                2008        19,610       18,618        992      5.1
CN0102300000000   01     023   Choctaw County, AL                                2008         5,069        4,646        423      8.3
CN0102500000000   01     025   Clarke County, AL                                 2008        10,351        9,419        932      9.0
CN0102700000000   01     027   Clay County, AL                                   2008         5,733        5,279        454      7.9
CN0102900000000   01     029   Cleburne County, AL                               2008         6,557        6,225        332      5.1
CN0103100000000   01     031   Coffee County, AL                                 2008        20,911       19,897      1,014      4.8
CN0103300000000   01     033   Colbert County, AL                                2008        25,160       23,523      1,637      6.5
CN0103500000000   01     035   Conecuh County, AL                                2008         4,878        4,421        457      9.4
CN0103700000000   01     037   Coosa County, AL                                  2008         4,659        4,274        385      8.3
CN0103900000000   01     039   Covington County, AL                              2008        16,800       15,803        997      5.9
CN0104100000000   01     041   Crenshaw County, AL                               2008         6,464        6,105        359      5.6
CN0104300000000   01     043   Cullman County, AL                                2008        39,096       37,188      1,908      4.9
CN0104500000000   01     045   Dale County, AL                                   2008        19,832       18,760      1,072      5.4
CN0104700000000   01     047   Dallas County, AL                                 2008        15,473       13,758      1,715     11.1
CN0104900000000   01     049   DeKalb County, AL                                 2008        30,682       28,895      1,787      5.8
CN0105100000000   01     051   Elmore County, AL                                 2008        36,220       34,371      1,849      5.1
CN0105300000000   01     053   Escambia County, AL                               2008        14,412       13,321      1,091      7.6
CN0105500000000   01     055   Etowah County, AL                                 2008        45,727       42,995      2,732      6.0
CN0105700000000   01     057   Fayette County, AL                                2008         7,118        6,604        514      7.2
CN0105900000000   01     059   Franklin County, AL                               2008        13,380       12,387        993      7.4
CN0106100000000   01     061   Geneva County, AL                                 2008        11,337       10,717        620      5.5
CN0106300000000   01     063   Greene County, AL                                 2008         3,280        3,001        279      8.5
CN0106500000000   01     065   Hale County, AL                                   2008         6,991        6,473        518      7.4
CN0106700000000   01     067   Henry County, AL                                  2008         7,376        6,807        569      7.7
CN0106900000000   01     069   Houston County, AL                                2008        46,452       44,180      2,272      4.9
CN0107100000000   01     071   Jackson County, AL                                2008        26,857       25,201      1,656      6.2
CN0107300000000   01     073   Jefferson County, AL                              2008       311,615      294,792     16,823      5.4
CN0107500000000   01     075   Lamar County, AL                                  2008         5,692        5,237        455      8.0
CN0107700000000   01     077   Lauderdale County, AL                             2008        42,873       40,408      2,465      5.7
CN0107900000000   01     079   Lawrence County, AL                               2008        15,867       14,837      1,030      6.5
CN0108100000000   01     081   Lee County, AL                                    2008        65,189       61,795      3,394      5.2
CN0108300000000   01     083   Limestone County, AL                              2008        37,427       35,664      1,763      4.7
CN0108500000000   01     085   Lowndes County, AL                                2008         4,851        4,322        529     10.9
CN0108700000000   01     087   Macon County, AL                                  2008         9,104        8,426        678      7.4
CN0108900000000   01     089   Madison County, AL                                2008       168,340      161,326      7,014      4.2
CN0109100000000   01     091   Marengo County, AL                                2008         7,979        7,389        590      7.4
CN0109300000000   01     093   Marion County, AL                                 2008        12,715       11,701      1,014      8.0
CN0109500000000   01     095   Marshall County, AL                               2008        41,700       39,720      1,980      4.7
CN0109700000000   01     097   Mobile County, AL                                 2008       187,266      176,623     10,643      5.7
CN0109900000000   01     099   Monroe County, AL                                 2008         8,789        7,896        893     10.2
CN0110100000000   01     101   Montgomery County, AL                             2008       106,155       99,875      6,280      5.9
CN0110300000000   01     103   Morgan County, AL                                 2008        56,997       54,014      2,983      5.2
CN0110500000000   01     105   Perry County, AL                                  2008         3,592        3,186        406     11.3
CN0110700000000   01     107   Pickens County, AL                                2008         7,925        7,359        566      7.1
CN0110900000000   01     109   Pike County, AL                                   2008        15,805       15,034        771      4.9
CN0111100000000   01     111   Randolph County, AL                               2008         9,609        8,905        704      7.3
CN0111300000000   01     113   Russell County, AL                                2008        21,693       19,959      1,734      8.0
CN0111500000000   01     115   St. Clair County, AL                              2008        36,482       34,651      1,831      5.0
CN0111700000000   01     117   Shelby County, AL                                 2008       101,156       97,375      3,781      3.7
CN0111900000000   01     119   Sumter County, AL                                 2008         4,721        4,308        413      8.7
CN0112100000000   01     121   Talladega County, AL                              2008        38,278       35,519      2,759      7.2
CN0112300000000   01     123   Tallapoosa County, AL                             2008        18,179       16,875      1,304      7.2
CN0112500000000   01     125   Tuscaloosa County, AL                             2008        89,185       84,978      4,207      4.7
CN0112700000000   01     127   Walker County, AL                                 2008        28,758       27,113      1,645      5.7
CN0112900000000   01     129   Washington County, AL                             2008         6,883        6,302        581      8.4
CN0113100000000   01     131   Wilcox County, AL                                 2008         3,482        2,996        486     14.0
CN0113300000000   01     133   Winston County, AL                                2008         9,984        9,120        864      8.7
CN0201300000000   02     013   Aleutians East Borough, AK                        2008         1,144        1,045         99      8.7
CN0201600000000   02     016   Aleutians West Census Area, AK                    2008         3,061        2,883        178      5.8
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2008       152,111      143,835      8,276      5.4
CN0205000000000   02     050   Bethel Census Area, AK                            2008         6,935        5,972        963     13.9
CN0206000000000   02     060   Bristol Bay Borough, AK                           2008         1,009          960         49      4.9
CN0206800000000   02     068   Denali Borough, AK                                2008         1,606        1,508         98      6.1
CN0207000000000   02     070   Dillingham Census Area, AK                        2008         2,068        1,875        193      9.3
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2008        45,993       43,198      2,795      6.1
CN0210000000000   02     100   Haines Borough, AK                                2008         1,358        1,238        120      8.8
CN0211000000000   02     110   Juneau Borough/city, AK                           2008        18,784       17,882        902      4.8
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2008        26,330       24,176      2,154      8.2
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2008         8,297        7,805        492      5.9
CN0215000000000   02     150   Kodiak Island Borough, AK                         2008         6,399        5,961        438      6.8
CN0215800000000   02     158   Kusilvak Census Area, AK                          2008         2,616        2,078        538     20.6
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2008         1,137        1,059         78      6.9
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2008        41,532       38,372      3,160      7.6
CN0218000000000   02     180   Nome Census Area, AK                              2008         3,991        3,577        414     10.4
CN0218500000000   02     185   North Slope Borough, AK                           2008         5,145        4,927        218      4.2
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2008         2,982        2,637        345     11.6
CN0220100000000   02     201   Prince of Wales-Outer Ketchikan Census Area, AK   2008         2,338        2,015        323     13.8
CN0222000000000   02     220   Sitka Borough/city, AK                            2008         4,621        4,353        268      5.8
CN0223200000000   02     232   Skagway-Hoonah-Angoon Census Area, AK             2008         1,921        1,673        248     12.9
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2008         3,555        3,241        314      8.8
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2008         5,259        4,816        443      8.4
CN0228000000000   02     280   Wrangell-Petersburg Census Area, AK               2008         2,813        2,513        300     10.7
CN0228200000000   02     282   Yakutat Borough/city, AK                          2008           320          296         24      7.5
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2008         2,786        2,393        393     14.1
CN0400100000000   04     001   Apache County, AZ                                 2008        21,264       18,792      2,472     11.6
CN0400300000000   04     003   Cochise County, AZ                                2008        60,278       56,745      3,533      5.9
CN0400500000000   04     005   Coconino County, AZ                               2008        73,208       69,108      4,100      5.6
CN0400700000000   04     007   Gila County, AZ                                   2008        22,326       20,882      1,444      6.5
