                               Labor Force Data by County, 2009 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2009        24,703       22,301      2,402      9.7
CN0100300000000   01     003   Baldwin County, AL                                2009        82,451       74,403      8,048      9.8
CN0100500000000   01     005   Barbour County, AL                                2009        10,003        8,572      1,431     14.3
CN0100700000000   01     007   Bibb County, AL                                   2009         8,742        7,581      1,161     13.3
CN0100900000000   01     009   Blount County, AL                                 2009        26,480       23,832      2,648     10.0
CN0101100000000   01     011   Bullock County, AL                                2009         3,739        3,156        583     15.6
CN0101300000000   01     013   Butler County, AL                                 2009         9,104        7,615      1,489     16.4
CN0101500000000   01     015   Calhoun County, AL                                2009        53,925       47,929      5,996     11.1
CN0101700000000   01     017   Chambers County, AL                               2009        14,650       11,777      2,873     19.6
CN0101900000000   01     019   Cherokee County, AL                               2009        11,758       10,384      1,374     11.7
CN0102100000000   01     021   Chilton County, AL                                2009        19,445       17,375      2,070     10.6
CN0102300000000   01     023   Choctaw County, AL                                2009         5,134        4,442        692     13.5
CN0102500000000   01     025   Clarke County, AL                                 2009        10,381        8,664      1,717     16.5
CN0102700000000   01     027   Clay County, AL                                   2009         5,643        4,703        940     16.7
CN0102900000000   01     029   Cleburne County, AL                               2009         6,514        5,851        663     10.2
CN0103100000000   01     031   Coffee County, AL                                 2009        21,436       19,612      1,824      8.5
CN0103300000000   01     033   Colbert County, AL                                2009        25,414       22,461      2,953     11.6
CN0103500000000   01     035   Conecuh County, AL                                2009         4,908        3,930        978     19.9
CN0103700000000   01     037   Coosa County, AL                                  2009         4,593        3,856        737     16.0
CN0103900000000   01     039   Covington County, AL                              2009        16,719       14,912      1,807     10.8
CN0104100000000   01     041   Crenshaw County, AL                               2009         6,439        5,768        671     10.4
CN0104300000000   01     043   Cullman County, AL                                2009        38,537       34,585      3,952     10.3
CN0104500000000   01     045   Dale County, AL                                   2009        20,033       18,100      1,933      9.6
CN0104700000000   01     047   Dallas County, AL                                 2009        15,868       12,516      3,352     21.1
CN0104900000000   01     049   DeKalb County, AL                                 2009        29,912       25,647      4,265     14.3
CN0105100000000   01     051   Elmore County, AL                                 2009        36,392       32,944      3,448      9.5
CN0105300000000   01     053   Escambia County, AL                               2009        14,762       12,770      1,992     13.5
CN0105500000000   01     055   Etowah County, AL                                 2009        44,993       39,838      5,155     11.5
CN0105700000000   01     057   Fayette County, AL                                2009         6,971        5,993        978     14.0
CN0105900000000   01     059   Franklin County, AL                               2009        13,240       11,463      1,777     13.4
CN0106100000000   01     061   Geneva County, AL                                 2009        11,173        9,970      1,203     10.8
CN0106300000000   01     063   Greene County, AL                                 2009         3,131        2,653        478     15.3
CN0106500000000   01     065   Hale County, AL                                   2009         6,869        5,890        979     14.3
CN0106700000000   01     067   Henry County, AL                                  2009         7,132        6,334        798     11.2
CN0106900000000   01     069   Houston County, AL                                2009        45,903       41,638      4,265      9.3
CN0107100000000   01     071   Jackson County, AL                                2009        26,370       23,005      3,365     12.8
CN0107300000000   01     073   Jefferson County, AL                              2009       307,018      274,011     33,007     10.8
CN0107500000000   01     075   Lamar County, AL                                  2009         5,546        4,658        888     16.0
CN0107700000000   01     077   Lauderdale County, AL                             2009        43,432       38,804      4,628     10.7
CN0107900000000   01     079   Lawrence County, AL                               2009        15,788       13,635      2,153     13.6
CN0108100000000   01     081   Lee County, AL                                    2009        64,893       58,787      6,106      9.4
CN0108300000000   01     083   Limestone County, AL                              2009        38,288       34,543      3,745      9.8
CN0108500000000   01     085   Lowndes County, AL                                2009         4,921        3,970        951     19.3
CN0108700000000   01     087   Macon County, AL                                  2009         9,345        8,203      1,142     12.2
CN0108900000000   01     089   Madison County, AL                                2009       168,887      155,310     13,577      8.0
CN0109100000000   01     091   Marengo County, AL                                2009         8,101        6,950      1,151     14.2
CN0109300000000   01     093   Marion County, AL                                 2009        12,361       10,311      2,050     16.6
CN0109500000000   01     095   Marshall County, AL                               2009        40,743       36,604      4,139     10.2
CN0109700000000   01     097   Mobile County, AL                                 2009       186,825      165,725     21,100     11.3
CN0109900000000   01     099   Monroe County, AL                                 2009         8,666        6,978      1,688     19.5
CN0110100000000   01     101   Montgomery County, AL                             2009       105,106       94,078     11,028     10.5
CN0110300000000   01     103   Morgan County, AL                                 2009        56,388       50,294      6,094     10.8
CN0110500000000   01     105   Perry County, AL                                  2009         3,770        3,021        749     19.9
CN0110700000000   01     107   Pickens County, AL                                2009         8,042        6,942      1,100     13.7
CN0110900000000   01     109   Pike County, AL                                   2009        15,803       14,300      1,503      9.5
CN0111100000000   01     111   Randolph County, AL                               2009         9,415        8,014      1,401     14.9
CN0111300000000   01     113   Russell County, AL                                2009        21,566       18,903      2,663     12.3
CN0111500000000   01     115   St. Clair County, AL                              2009        36,770       32,765      4,005     10.9
CN0111700000000   01     117   Shelby County, AL                                 2009        99,773       92,015      7,758      7.8
CN0111900000000   01     119   Sumter County, AL                                 2009         4,761        4,051        710     14.9
CN0112100000000   01     121   Talladega County, AL                              2009        37,787       32,348      5,439     14.4
CN0112300000000   01     123   Tallapoosa County, AL                             2009        18,149       15,687      2,462     13.6
CN0112500000000   01     125   Tuscaloosa County, AL                             2009        89,100       80,043      9,057     10.2
CN0112700000000   01     127   Walker County, AL                                 2009        28,190       24,910      3,280     11.6
CN0112900000000   01     129   Washington County, AL                             2009         6,935        5,889      1,046     15.1
CN0113100000000   01     131   Wilcox County, AL                                 2009         3,648        2,698        950     26.0
CN0113300000000   01     133   Winston County, AL                                2009         9,519        7,832      1,687     17.7
CN0201300000000   02     013   Aleutians East Borough, AK                        2009         1,133        1,021        112      9.9
CN0201600000000   02     016   Aleutians West Census Area, AK                    2009         3,005        2,794        211      7.0
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2009       153,834      143,806     10,028      6.5
CN0205000000000   02     050   Bethel Census Area, AK                            2009         7,031        6,039        992     14.1
CN0206000000000   02     060   Bristol Bay Borough, AK                           2009         1,045          995         50      4.8
CN0206800000000   02     068   Denali Borough, AK                                2009         1,412        1,295        117      8.3
CN0207000000000   02     070   Dillingham Census Area, AK                        2009         2,152        1,933        219     10.2
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2009        46,015       42,756      3,259      7.1
CN0210000000000   02     100   Haines Borough, AK                                2009         1,416        1,288        128      9.0
CN0211000000000   02     110   Juneau Borough/city, AK                           2009        18,393       17,309      1,084      5.9
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2009        26,909       24,267      2,642      9.8
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2009         8,331        7,738        593      7.1
CN0215000000000   02     150   Kodiak Island Borough, AK                         2009         6,603        6,131        472      7.1
CN0215800000000   02     158   Kusilvak Census Area, AK                          2009         2,696        2,135        561     20.8
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2009         1,088        1,000         88      8.1
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2009        42,490       38,714      3,776      8.9
CN0218000000000   02     180   Nome Census Area, AK                              2009         3,968        3,505        463     11.7
CN0218500000000   02     185   North Slope Borough, AK                           2009         5,304        5,053        251      4.7
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2009         2,988        2,632        356     11.9
CN0220100000000   02     201   Prince of Wales-Outer Ketchikan Census Area, AK   2009         2,385        2,022        363     15.2
CN0222000000000   02     220   Sitka Borough/city, AK                            2009         4,646        4,357        289      6.2
CN0223200000000   02     232   Skagway-Hoonah-Angoon Census Area, AK             2009         1,796        1,532        264     14.7
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2009         3,612        3,264        348      9.6
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2009         5,340        4,887        453      8.5
CN0228000000000   02     280   Wrangell-Petersburg Census Area, AK               2009         2,871        2,572        299     10.4
CN0228200000000   02     282   Yakutat Borough/city, AK                          2009           314          278         36     11.5
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2009         2,876        2,471        405     14.1
CN0400100000000   04     001   Apache County, AZ                                 2009        22,938       19,319      3,619     15.8
CN0400300000000   04     003   Cochise County, AZ                                2009        63,049       58,022      5,027      8.0
CN0400500000000   04     005   Coconino County, AZ                               2009        74,805       68,429      6,376      8.5
CN0400700000000   04     007   Gila County, AZ                                   2009        23,275       20,629      2,646     11.4
CN0400900000000   04     009   Graham County, AZ                                 2009        15,246       12,952      2,294     15.0
CN0401100000000   04     011   Greenlee County, AZ                               2009         4,396        3,564        832     18.9
CN0401200000000   04     012   La Paz County, AZ                                 2009         7,702        6,941        761      9.9
CN0401300000000   04     013   Maricopa County, AZ                               2009     1,966,607    1,787,374    179,233      9.1
CN0401500000000   04     015   Mohave County, AZ                                 2009        91,554       81,120     10,434     11.4
CN0401700000000   04     017   Navajo County, AZ                                 2009        41,199       34,893      6,306     15.3
CN0401900000000   04     019   Pima County, AZ                                   2009       485,850      441,837     44,013      9.1
CN0402100000000   04     021   Pinal County, AZ                                  2009       126,779      111,192     15,587     12.3
CN0402300000000   04     023   Santa Cruz County, AZ                             2009        18,594       15,655      2,939     15.8
CN0402500000000   04     025   Yavapai County, AZ                                2009        98,309       88,034     10,275     10.5
CN0402700000000   04     027   Yuma County, AZ                                   2009        87,808       67,617     20,191     23.0
CN0500100000000   05     001   Arkansas County, AR                               2009        12,305       10,377      1,928     15.7
CN0500300000000   05     003   Ashley County, AR                                 2009         9,344        8,359        985     10.5
CN0500500000000   05     005   Baxter County, AR                                 2009        17,328       15,715      1,613      9.3
CN0500700000000   05     007   Benton County, AR                                 2009       107,694      100,774      6,920      6.4
CN0500900000000   05     009   Boone County, AR                                  2009        16,987       15,712      1,275      7.5
CN0501100000000   05     011   Bradley County, AR                                2009         5,486        4,951        535      9.8
CN0501300000000   05     013   Calhoun County, AR                                2009         2,583        2,365        218      8.4
CN0501500000000   05     015   Carroll County, AR                                2009        14,013       13,160        853      6.1
CN0501700000000   05     017   Chicot County, AR                                 2009         4,873        4,331        542     11.1
CN0501900000000   05     019   Clark County, AR                                  2009        10,782        9,910        872      8.1
CN0502100000000   05     021   Clay County, AR                                   2009         6,671        5,914        757     11.3
CN0502300000000   05     023   Cleburne County, AR                               2009        11,794       10,911        883      7.5
CN0502500000000   05     025   Cleveland County, AR                              2009         4,043        3,715        328      8.1
CN0502700000000   05     027   Columbia County, AR                               2009        10,618        9,584      1,034      9.7
CN0502900000000   05     029   Conway County, AR                                 2009        10,265        9,491        774      7.5
CN0503100000000   05     031   Craighead County, AR                              2009        46,769       43,482      3,287      7.0
CN0503300000000   05     033   Crawford County, AR                               2009        27,945       25,758      2,187      7.8
CN0503500000000   05     035   Crittenden County, AR                             2009        22,055       19,652      2,403     10.9
CN0503700000000   05     037   Cross County, AR                                  2009         8,537        7,824        713      8.4
CN0503900000000   05     039   Dallas County, AR                                 2009         3,940        3,539        401     10.2
CN0504100000000   05     041   Desha County, AR                                  2009         5,593        4,960        633     11.3
CN0504300000000   05     043   Drew County, AR                                   2009         8,224        7,318        906     11.0
CN0504500000000   05     045   Faulkner County, AR                               2009        56,404       52,485      3,919      6.9
CN0504700000000   05     047   Franklin County, AR                               2009         8,183        7,589        594      7.3
CN0504900000000   05     049   Fulton County, AR                                 2009         5,253        4,861        392      7.5
CN0505100000000   05     051   Garland County, AR                                2009        42,565       39,321      3,244      7.6
CN0505300000000   05     053   Grant County, AR                                  2009         8,520        7,913        607      7.1
CN0505500000000   05     055   Greene County, AR                                 2009        18,767       16,880      1,887     10.1
CN0505700000000   05     057   Hempstead County, AR                              2009        10,703        9,819        884      8.3
CN0505900000000   05     059   Hot Spring County, AR                             2009        15,337       14,017      1,320      8.6
CN0506100000000   05     061   Howard County, AR                                 2009         6,227        5,727        500      8.0
CN0506300000000   05     063   Independence County, AR                           2009        16,876       15,394      1,482      8.8
CN0506500000000   05     065   Izard County, AR                                  2009         5,349        4,859        490      9.2
CN0506700000000   05     067   Jackson County, AR                                2009         7,643        6,807        836     10.9
CN0506900000000   05     069   Jefferson County, AR                              2009        35,629       32,128      3,501      9.8
CN0507100000000   05     071   Johnson County, AR                                2009        11,562       10,731        831      7.2
CN0507300000000   05     073   Lafayette County, AR                              2009         2,991        2,706        285      9.5
CN0507500000000   05     075   Lawrence County, AR                               2009         7,321        6,648        673      9.2
CN0507700000000   05     077   Lee County, AR                                    2009         3,534        3,209        325      9.2
CN0507900000000   05     079   Lincoln County, AR                                2009         4,989        4,495        494      9.9
CN0508100000000   05     081   Little River County, AR                           2009         6,774        6,366        408      6.0
CN0508300000000   05     083   Logan County, AR                                  2009        10,120        9,186        934      9.2
CN0508500000000   05     085   Lonoke County, AR                                 2009        32,345       30,321      2,024      6.3
CN0508700000000   05     087   Madison County, AR                                2009         7,396        6,896        500      6.8
CN0508900000000   05     089   Marion County, AR                                 2009         6,711        5,917        794     11.8
CN0509100000000   05     091   Miller County, AR                                 2009        19,952       18,825      1,127      5.6
CN0509300000000   05     093   Mississippi County, AR                            2009        21,532       18,532      3,000     13.9
CN0509500000000   05     095   Monroe County, AR                                 2009         3,717        3,415        302      8.1
CN0509700000000   05     097   Montgomery County, AR                             2009         4,168        3,874        294      7.1
CN0509900000000   05     099   Nevada County, AR                                 2009         4,250        3,855        395      9.3
CN0510100000000   05     101   Newton County, AR                                 2009         3,459        3,184        275      8.0
CN0510300000000   05     103   Ouachita County, AR                               2009        12,136       11,162        974      8.0
CN0510500000000   05     105   Perry County, AR                                  2009         4,724        4,353        371      7.9
CN0510700000000   05     107   Phillips County, AR                               2009         8,841        8,001        840      9.5
CN0510900000000   05     109   Pike County, AR                                   2009         5,051        4,664        387      7.7
CN0511100000000   05     111   Poinsett County, AR                               2009        10,542        9,607        935      8.9
CN0511300000000   05     113   Polk County, AR                                   2009         8,797        8,125        672      7.6
CN0511500000000   05     115   Pope County, AR                                   2009        29,573       27,343      2,230      7.5
CN0511700000000   05     117   Prairie County, AR                                2009         4,294        3,956        338      7.9
CN0511900000000   05     119   Pulaski County, AR                                2009       189,945      177,280     12,665      6.7
CN0512100000000   05     121   Randolph County, AR                               2009         7,664        6,956        708      9.2
CN0512300000000   05     123   St. Francis County, AR                            2009        10,389        9,308      1,081     10.4
CN0512500000000   05     125   Saline County, AR                                 2009        49,591       46,320      3,271      6.6
CN0512700000000   05     127   Scott County, AR                                  2009         4,913        4,577        336      6.8
CN0512900000000   05     129   Searcy County, AR                                 2009         3,569        3,294        275      7.7
CN0513100000000   05     131   Sebastian County, AR                              2009        60,582       55,949      4,633      7.6
CN0513300000000   05     133   Sevier County, AR                                 2009         7,570        7,126        444      5.9
CN0513500000000   05     135   Sharp County, AR                                  2009         6,248        5,673        575      9.2
CN0513700000000   05     137   Stone County, AR                                  2009         4,597        4,191        406      8.8
CN0513900000000   05     139   Union County, AR                                  2009        19,175       17,192      1,983     10.3
CN0514100000000   05     141   Van Buren County, AR                              2009         7,029        6,294        735     10.5
CN0514300000000   05     143   Washington County, AR                             2009        99,482       93,231      6,251      6.3
CN0514500000000   05     145   White County, AR                                  2009        34,059       31,269      2,790      8.2
CN0514700000000   05     147   Woodruff County, AR                               2009         3,368        2,997        371     11.0
CN0514900000000   05     149   Yell County, AR                                   2009        10,643        9,769        874      8.2
CN0600100000000   06     001   Alameda County, CA                                2009       760,888      682,852     78,036     10.3
CN0600300000000   06     003   Alpine County, CA                                 2009           446          383         63     14.1
CN0600500000000   06     005   Amador County, CA                                 2009        17,817       15,781      2,036     11.4
CN0600700000000   06     007   Butte County, CA                                  2009       103,739       91,000     12,739     12.3
CN0600900000000   06     009   Calaveras County, CA                              2009        20,327       17,563      2,764     13.6
CN0601100000000   06     011   Colusa County, CA                                 2009        11,516        9,490      2,026     17.6
CN0601300000000   06     013   Contra Costa County, CA                           2009       524,795      472,577     52,218     10.0
CN0601500000000   06     015   Del Norte County, CA                              2009        11,679       10,303      1,376     11.8
CN0601700000000   06     017   El Dorado County, CA                              2009        91,670       81,716      9,954     10.9
CN0601900000000   06     019   Fresno County, CA                                 2009       434,044      370,321     63,723     14.7
CN0602100000000   06     021   Glenn County, CA                                  2009        12,579       10,800      1,779     14.1
CN0602300000000   06     023   Humboldt County, CA                               2009        60,835       54,333      6,502     10.7
CN0602500000000   06     025   Imperial County, CA                               2009        75,569       54,889     20,680     27.4
CN0602700000000   06     027   Inyo County, CA                                   2009         9,388        8,547        841      9.0
CN0602900000000   06     029   Kern County, CA                                   2009       362,714      311,707     51,007     14.1
CN0603100000000   06     031   Kings County, CA                                  2009        60,489       51,876      8,613     14.2
CN0603300000000   06     033   Lake County, CA                                   2009        25,372       21,565      3,807     15.0
CN0603500000000   06     035   Lassen County, CA                                 2009        13,564       11,893      1,671     12.3
CN0603700000000   06     037   Los Angeles County, CA                            2009     4,914,702    4,345,182    569,520     11.6
CN0603900000000   06     039   Madera County, CA                                 2009        66,473       57,597      8,876     13.4
CN0604100000000   06     041   Marin County, CA                                  2009       131,981      122,061      9,920      7.5
CN0604300000000   06     043   Mariposa County, CA                               2009         9,397        8,431        966     10.3
CN0604500000000   06     045   Mendocino County, CA                              2009        43,306       38,955      4,351     10.0
CN0604700000000   06     047   Merced County, CA                                 2009       105,373       87,863     17,510     16.6
CN0604900000000   06     049   Modoc County, CA                                  2009         4,044        3,555        489     12.1
CN0605100000000   06     051   Mono County, CA                                   2009         8,736        7,969        767      8.8
CN0605300000000   06     053   Monterey County, CA                               2009       215,363      190,585     24,778     11.5
CN0605500000000   06     055   Napa County, CA                                   2009        75,560       69,240      6,320      8.4
CN0605700000000   06     057   Nevada County, CA                                 2009        50,379       45,205      5,174     10.3
CN0605900000000   06     059   Orange County, CA                                 2009     1,589,259    1,451,687    137,572      8.7
CN0606100000000   06     061   Placer County, CA                                 2009       179,718      161,416     18,302     10.2
CN0606300000000   06     063   Plumas County, CA                                 2009        10,016        8,475      1,541     15.4
CN0606500000000   06     065   Riverside County, CA                              2009       915,787      795,813    119,974     13.1
