                               Labor Force Data by County, 2012 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2012        25,740       23,961      1,779      6.9
CN0100300000000   01     003   Baldwin County, AL                                2012        84,414       78,065      6,349      7.5
CN0100500000000   01     005   Barbour County, AL                                2012         9,362        8,283      1,079     11.5
CN0100700000000   01     007   Bibb County, AL                                   2012         8,798        8,047        751      8.5
CN0100900000000   01     009   Blount County, AL                                 2012        24,960       23,244      1,716      6.9
CN0101100000000   01     011   Bullock County, AL                                2012         4,736        4,245        491     10.4
CN0101300000000   01     013   Butler County, AL                                 2012         9,088        8,039      1,049     11.5
CN0101500000000   01     015   Calhoun County, AL                                2012        49,649       45,252      4,397      8.9
CN0101700000000   01     017   Chambers County, AL                               2012        15,140       13,646      1,494      9.9
CN0101900000000   01     019   Cherokee County, AL                               2012        11,268       10,363        905      8.0
CN0102100000000   01     021   Chilton County, AL                                2012        19,383       17,982      1,401      7.2
CN0102300000000   01     023   Choctaw County, AL                                2012         4,791        4,297        494     10.3
CN0102500000000   01     025   Clarke County, AL                                 2012         8,374        7,116      1,258     15.0
CN0102700000000   01     027   Clay County, AL                                   2012         5,413        4,905        508      9.4
CN0102900000000   01     029   Cleburne County, AL                               2012         5,838        5,358        480      8.2
CN0103100000000   01     031   Coffee County, AL                                 2012        20,612       19,159      1,453      7.0
CN0103300000000   01     033   Colbert County, AL                                2012        24,026       21,922      2,104      8.8
CN0103500000000   01     035   Conecuh County, AL                                2012         4,635        4,082        553     11.9
CN0103700000000   01     037   Coosa County, AL                                  2012         4,445        4,029        416      9.4
CN0103900000000   01     039   Covington County, AL                              2012        16,345       14,978      1,367      8.4
CN0104100000000   01     041   Crenshaw County, AL                               2012         6,251        5,732        519      8.3
CN0104300000000   01     043   Cullman County, AL                                2012        35,568       32,835      2,733      7.7
CN0104500000000   01     045   Dale County, AL                                   2012        21,370       19,781      1,589      7.4
CN0104700000000   01     047   Dallas County, AL                                 2012        16,746       14,583      2,163     12.9
CN0104900000000   01     049   DeKalb County, AL                                 2012        28,833       26,224      2,609      9.0
CN0105100000000   01     051   Elmore County, AL                                 2012        36,629       34,087      2,542      6.9
CN0105300000000   01     053   Escambia County, AL                               2012        14,732       13,374      1,358      9.2
CN0105500000000   01     055   Etowah County, AL                                 2012        44,232       40,589      3,643      8.2
CN0105700000000   01     057   Fayette County, AL                                2012         6,503        5,943        560      8.6
CN0105900000000   01     059   Franklin County, AL                               2012        13,976       12,806      1,170      8.4
CN0106100000000   01     061   Geneva County, AL                                 2012        11,274       10,421        853      7.6
