"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	42	918492	4.6
	"Baldwin County, AL"	"01003"	120	3102984	3.9
	"Barbour County, AL"	"01005"	40	499262	8.0
	"Bibb County, AL"	"01007"	34	397470	8.6
	"Blount County, AL"	"01009"	54	997531	5.4
	"Bullock County, AL"	"01011"	22	197588	11.1
	"Butler County, AL"	"01013"	49	374201	13.1
	"Calhoun County, AL"	"01015"	217	2073654	10.5
	"Chambers County, AL"	"01017"	53	628820	8.4
	"Cherokee County, AL"	"01019"	22	454744	4.8
	"Chilton County, AL"	"01021"	42	762303	5.5
	"Choctaw County, AL"	"01023"	27	258214	10.5
	"Clarke County, AL"	"01025"	37	472616	7.8
	"Clay County, AL"	"01027"	11	250712	4.4 (Unreliable)
	"Cleburne County, AL"	"01029"	26	263977	9.8
	"Coffee County, AL"	"01031"	26	856929	3.0
	"Colbert County, AL"	"01033"	51	980619	5.2
	"Conecuh County, AL"	"01035"	28	240029	11.7
	"Coosa County, AL"	"01037"	18	205706	8.8 (Unreliable)
	"Covington County, AL"	"01039"	34	675056	5.0
	"Crenshaw County, AL"	"01041"	25	248758	10.0
	"Cullman County, AL"	"01043"	38	1430571	2.7
	"Dale County, AL"	"01045"	49	891078	5.5
	"Dallas County, AL"	"01047"	164	789694	20.8
	"DeKalb County, AL"	"01049"	49	1237389	4.0
	"Elmore County, AL"	"01051"	86	1353407	6.4
	"Escambia County, AL"	"01053"	63	683727	9.2
	"Etowah County, AL"	"01055"	137	1864049	7.3
	"Fayette County, AL"	"01057"	16	316242	5.1 (Unreliable)
	"Franklin County, AL"	"01059"	21	563568	3.7
	"Geneva County, AL"	"01061"	35	473304	7.4
	"Greene County, AL"	"01063"	26	167097	15.6
	"Hale County, AL"	"01065"	34	291975	11.6
	"Henry County, AL"	"01067"	24	304327	7.9
	"Houston County, AL"	"01069"	94	1751027	5.4
	"Jackson County, AL"	"01071"	45	959028	4.7
	"Jefferson County, AL"	"01073"	1990	11848682	16.8
	"Lamar County, AL"	"01075"	Suppressed	266614	Suppressed
	"Lauderdale County, AL"	"01077"	84	1631805	5.1
	"Lawrence County, AL"	"01079"	36	614539	5.9
	"Lee County, AL"	"01081"	184	2420055	7.6
	"Limestone County, AL"	"01083"	66	1404158	4.7
	"Lowndes County, AL"	"01085"	51	214046	23.8
	"Macon County, AL"	"01087"	92	392006	23.5
	"Madison County, AL"	"01089"	330	5711502	5.8
	"Marengo County, AL"	"01091"	32	382441	8.4
	"Marion County, AL"	"01093"	25	551316	4.5
	"Marshall County, AL"	"01095"	53	1606785	3.3
	"Mobile County, AL"	"01097"	1040	7320274	14.2
	"Monroe County, AL"	"01099"	43	417600	10.3
	"Montgomery County, AL"	"01101"	642	4068324	15.8
	"Morgan County, AL"	"01103"	110	2090840	5.3
	"Perry County, AL"	"01105"	24	193641	12.4
	"Pickens County, AL"	"01107"	17	363998	4.7 (Unreliable)
	"Pike County, AL"	"01109"	46	570092	8.1
	"Randolph County, AL"	"01111"	35	406885	8.6
	"Russell County, AL"	"01113"	123	953288	12.9
	"St. Clair County, AL"	"01115"	62	1393752	4.4
	"Shelby County, AL"	"01117"	110	3250668	3.4
	"Sumter County, AL"	"01119"	29	250888	11.6
	"Talladega County, AL"	"01121"	135	1464961	9.2
	"Tallapoosa County, AL"	"01123"	62	742256	8.4
	"Tuscaloosa County, AL"	"01125"	265	3332133	8.0
	"Walker County, AL"	"01127"	82	1220622	6.7
	"Washington County, AL"	"01129"	27	314975	8.6
	"Wilcox County, AL"	"01131"	34	216682	15.7
	"Winston County, AL"	"01133"	26	440460	5.9
	"Aleutians East Borough, AK"	"02013"	Suppressed	53775	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	101024	Suppressed
	"Anchorage Borough, AK"	"02020"	335	5086614	6.6
	"Bethel Census Area, AK"	"02050"	39	305286	12.8
	"Bristol Bay Borough, AK"	"02060"	Suppressed	19294	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	26123	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	87972	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	92	1673807	5.5
	"Haines Borough, AK"	"02100"	Suppressed	43592	Suppressed
